account_no,holder_name,holder_address,bank_name,account_type,opened_date,avg_monthly_deposit_pkr
PK99-2829864200,Sardar Mansoor Awan,"House No. 256, Gali 23, DHA Phase 5, Lahore",HBL,Foreign Currency,2023-07-01,3480345
PK87-1003522194,M.Awan,مکان 256 گلی 23 DHA Phase 5 لاہور,UBL,Savings,2025-06-01,6065257
PK46-7701688471,Chaudhary Mahnoor Hashmi,H#27 St-10 F-8/3 Islamabad,JS Bank,Savings,2021-12-09,2116226
PK80-3939776686,Mahnoor Hashmi,"House No. 27, Gali 10, F-8/3, Islamabad",UBL,Current,2019-08-29,5489563
PK63-8100251673,Mahnoor Hashmi,"House 27, Street 10, F-8/3, Islamabad",MCB,Savings,2022-04-09,2254708
PK46-2000042441,M. Hashmi,H#27 St-10 F-8/3 Islamabad,Bank Alfalah,Savings,2024-01-29,2689476
PK17-3847328500,Rana Rashid Cheema,"House No. 101, Gali 10, Westridge, Rawalpindi",Bank Alfalah,Foreign Currency,2019-06-24,6186124
PK57-8605276353,Rashid Cheema,H#101 St-10 Westridge Rawalpindi,Askari Bank,Savings,2025-11-30,2446227
PK27-9463267823,Sardar Rashid Cheema,"House No. 101, Gali 10, Westridge, Rawalpindi",JS Bank,Foreign Currency,2023-04-14,5091759
PK65-2733404423,I. Bukhari,مکان 7 گلی 8 Cantt Multan,MCB,Savings,2023-09-16,6481927
PK30-1229041868,Haji Imran Bukhari,"House 7, Street 8, Cantt, Multan",Meezan Bank,Savings,2020-08-15,6498016
PK32-4993208225,عمران Bukhari,مکان 7 گلی 8 Cantt Multan,Allied Bank,Foreign Currency,2019-03-18,3257257
PK70-9389317713,Madiha Cheema,"House No. 295, Gali 39, Hayatabad Phase 3, Peshawar",JS Bank,Savings,2018-12-26,1985240
PK90-6512480608,M. Cheema,"House No. 295, Gali 39, Hayatabad Phase 3, Peshawar",Meezan Bank,Current,2018-09-02,1469902
PK87-4027041167,حسین Awan,"House 150, Street 10, North Nazimabad, Karachi",Askari Bank,Savings,2021-08-09,3195544
PK24-8708286862,حسین Awan,مکان 150 گلی 10 North Nazimabad کراچی,Askari Bank,Foreign Currency,2022-07-08,6875828
PK51-2021446840,Hussain Awan,"House No. 150, Gali 10, North Nazimabad, Karachi",Askari Bank,Current,2021-05-07,3905302
PK99-8215235763,Mian Hussain Awan,مکان 150 گلی 10 North Nazimabad کراچی,JS Bank,Savings,2020-07-18,6603094
PK24-2427579847,Chaudhary Sufyan Lodhi,"House 49, Street 38, Gulgasht, Multan",Meezan Bank,Current,2020-07-03,3432812
PK97-6202052503,Sufyan Lodhi,"House 49, Street 38, Gulgasht, Multan",Meezan Bank,Current,2024-01-26,7887289
PK46-1153236888,H.Virk,"House No. 127, Gali 5, G-13/1, Islamabad",UBL,Foreign Currency,2023-10-13,2133078
PK98-9223071725,Hina Virk,H#127 St-5 G-13/1 Islamabad,JS Bank,Foreign Currency,2018-03-22,4082401
PK39-4145036450,Sardar Hina Virk,H#127 St-5 G-13/1 Islamabad,UBL,Current,2018-03-03,3725656
PK33-3539678738,H.Virk,"House 127, Street 5, G-13/1, Islamabad",Meezan Bank,Savings,2022-03-03,1968914
PK10-9493967142,Malik Iqra Afridi,"House No. 374, Gali 16, G-10/2, Islamabad",Meezan Bank,Savings,2024-03-10,6476297
PK16-7199627373,Iqra Afridi,مکان 374 گلی 16 G-10/2 اسلام آباد,UBL,Current,2019-09-13,2440349
PK12-5967181916,I. Afridi,مکان 374 گلی 16 G-10/2 اسلام آباد,Askari Bank,Savings,2025-07-06,1933742
PK23-9052521302,Mian Nadeem Yousafzai,"House 27, Street 25, Satellite Town, Rawalpindi",HBL,Savings,2019-11-15,6693152
PK68-2160145200,Nadeem Yousafzai,مکان 27 گلی 25 Satellite Town راولپنڈی,Askari Bank,Savings,2018-12-03,6425017
PK39-3590597749,Pervez Tarar,H#25 St-12 ChaklalaScheme3 Rawalpindi,Allied Bank,Savings,2019-09-22,7660557
PK95-3031710135,Pervez Tarar,H#25 St-12 ChaklalaScheme3 Rawalpindi,MCB,Savings,2025-07-21,1750214
PK43-2771290222,Pervez Tarar,مکان 25 گلی 12 Chaklala Scheme 3 راولپنڈی,Meezan Bank,Savings,2023-03-08,7535023
PK68-9827047368,T.Sandhu,مکان 108 گلی 38 Chaklala Scheme 3 راولپنڈی,JS Bank,Current,2018-12-21,1531911
PK47-3114014869,T.Sandhu,H#108 St-38 ChaklalaScheme3 Rawalpindi,HBL,Savings,2019-03-21,7239712
PK40-2304563652,Tariq Sandhu,مکان 108 گلی 38 Chaklala Scheme 3 راولپنڈی,MCB,Foreign Currency,2024-12-01,6575052
PK70-1520725270,Amna Bukhari,مکان 99 گلی 29 Cantt Multan,JS Bank,Savings,2021-09-26,4209780
PK20-2769994246,A.Bukhari,"House 99, Street 29, Cantt, Multan",Meezan Bank,Savings,2023-01-31,5083304
PK21-7842665395,S. Gill,"House 329, Street 35, North Nazimabad, Karachi",UBL,Savings,2019-06-11,3117642
PK17-5914321387,S.Gill,"House No. 329, Gali 35, North Nazimabad, Karachi",Meezan Bank,Foreign Currency,2018-11-19,5320359
PK50-2515047386,Mian Salman Gill,H#329 St-35 NorthNazimabad Karachi,Allied Bank,Current,2024-12-06,4585418
PK16-9668738438,Rana Salman Gill,مکان 329 گلی 35 North Nazimabad کراچی,Meezan Bank,Current,2019-05-05,1858412
PK15-9909958626,M.Sial,H#28 St-14 DHAPhase6 Karachi,MCB,Current,2023-12-10,2564760
PK39-3529518295,M. Sial,"House 28, Street 14, DHA Phase 6, Karachi",HBL,Savings,2018-01-01,6379927
PK62-7096104860,عائشہ Mughal,"House 182, Street 37, Shah Rukn-e-Alam, Multan",Allied Bank,Savings,2025-06-18,4788816
PK27-8659172269,A.Mughal,H#182 St-37 ShahRukn-e-Alam Multan,Bank Alfalah,Savings,2025-03-16,5125402
PK70-1616631352,Ayesha Mughal,"House 182, Street 37, Shah Rukn-e-Alam, Multan",Askari Bank,Current,2022-04-24,4542836
PK84-2174107923,Ayesha Mughal,مکان 182 گلی 37 Shah Rukn-e-Alam Multan,Bank Alfalah,Savings,2025-05-08,4637886
PK76-7078914221,Owais Bhatti,"House No. 48, Gali 2, Satellite Town, Rawalpindi",HBL,Savings,2023-01-08,5298648
PK20-6807710202,Rana Owais Bhatti,مکان 48 گلی 2 Satellite Town راولپنڈی,Allied Bank,Savings,2019-04-29,4913679
PK10-7239683957,حسن Siddiqui,مکان 39 گلی 17 I-8/4 اسلام آباد,Bank Alfalah,Foreign Currency,2021-11-30,7226667
PK85-1699054329,Hassan Siddiqui,"House No. 39, Gali 17, I-8/4, Islamabad",JS Bank,Savings,2023-12-26,2168748
PK81-2645440565,حسن Siddiqui,H#39 St-17 I-8/4 Islamabad,Allied Bank,Savings,2024-04-19,2264362
PK22-7496111551,H. Siddiqui,H#39 St-17 I-8/4 Islamabad,Meezan Bank,Savings,2024-04-02,6472859
PK77-2763247686,Z.Wazir,"House No. 165, Gali 31, Gulshan-e-Iqbal, Karachi",MCB,Current,2019-03-14,3438389
PK28-5994226072,Zeeshan Wazir,"House No. 165, Gali 31, Gulshan-e-Iqbal, Karachi",UBL,Savings,2025-01-11,3690561
PK16-5373698287,H. Rizvi,"House 130, Street 24, Model Town, Lahore",Meezan Bank,Savings,2021-06-28,6912583
PK47-9379056142,Hina Rizvi,مکان 130 گلی 24 Model Town لاہور,MCB,Savings,2024-04-11,6369207
PK21-7058206070,Hina Rizvi,"House No. 130, Gali 24, Model Town, Lahore",Bank Alfalah,Savings,2025-11-19,5728877
PK72-9845221881,Mian Hina Rizvi,"House No. 130, Gali 24, Model Town, Lahore",HBL,Foreign Currency,2021-04-15,5235812
PK57-7927198515,Mian Hina Mehsud,"House No. 270, Gali 12, Madina Town, Faisalabad",Bank Alfalah,Savings,2018-03-07,3588148
PK61-8664613223,H. Mehsud,"House No. 270, Gali 12, Madina Town, Faisalabad",Askari Bank,Savings,2019-02-14,4006843
PK26-1683211373,N.Gondal,مکان 80 گلی 20 Gulgasht Multan,Askari Bank,Savings,2021-03-30,7364916
PK32-7366206655,N.Gondal,"House No. 80, Gali 20, Gulgasht, Multan",HBL,Savings,2025-02-05,5751574
PK65-9426307885,Nasir Gondal,"House 80, Street 20, Gulgasht, Multan",Bank Alfalah,Foreign Currency,2020-05-28,6417543
PK22-1621084947,R. Baig,H#149 St-19 NorthNazimabad Karachi,HBL,Current,2025-07-07,4203651
PK21-7903108846,Rauf Baig,"House 149, Street 19, North Nazimabad, Karachi",Meezan Bank,Foreign Currency,2022-04-10,6820215
PK90-5070844941,Rauf Baig,مکان 149 گلی 19 North Nazimabad کراچی,Askari Bank,Savings,2025-05-20,3848380
PK90-3073832654,R. Baig,مکان 149 گلی 19 North Nazimabad کراچی,Askari Bank,Foreign Currency,2019-06-20,7089863
PK78-8313723401,Haji Mansoor Chaudhry,"House No. 279, Gali 14, I-8/4, Islamabad",MCB,Savings,2024-01-10,3212491
PK16-7951265211,Sardar Mansoor Chaudhry,H#279 St-14 I-8/4 Islamabad,Meezan Bank,Savings,2019-11-30,5002068
PK73-1565330711,Mansoor چوہدری,مکان 279 گلی 14 I-8/4 اسلام آباد,JS Bank,Savings,2022-07-07,1966733
PK35-6220120059,Mansoor چوہدری,"House 279, Street 14, I-8/4, Islamabad",HBL,Current,2021-01-11,5829047
PK19-5583381850,Uzma Kazmi,H#105 St-21 F-8/3 Islamabad,JS Bank,Savings,2024-08-02,4615940
PK70-6813075464,Uzma Kazmi,مکان 105 گلی 21 F-8/3 اسلام آباد,Askari Bank,Savings,2023-12-17,6792475
PK52-6325856077,U.Kazmi,"House No. 105, Gali 21, F-8/3, Islamabad",Allied Bank,Savings,2023-10-12,4536859
PK21-4464724800,Malik Uzma Kazmi,"House No. 105, Gali 21, F-8/3, Islamabad",Allied Bank,Current,2025-03-25,5233691
PK34-9343897627,K. Malik,مکان 185 گلی 22 Wapda Town لاہور,JS Bank,Foreign Currency,2021-08-29,4818135
PK80-6611580481,Syed Khadija Malik,مکان 185 گلی 22 Wapda Town لاہور,Meezan Bank,Current,2024-04-13,7609670
PK36-1356888884,E. Tareen,H#241 St-7 DGround Faisalabad,Askari Bank,Foreign Currency,2023-12-26,2505617
PK24-6197049360,Ehsan Tareen,"House No. 241, Gali 7, D Ground, Faisalabad",HBL,Savings,2018-07-04,6650685
PK71-9998012633,Ehsan Tareen,"House 241, Street 7, D Ground, Faisalabad",Meezan Bank,Savings,2025-06-22,4038995
PK57-4886869983,Syed Atif Bukhari,"House No. 56, Gali 3, D Ground, Faisalabad",Bank Alfalah,Foreign Currency,2022-01-25,6261903
PK48-3438984790,Atif Bukhari,"House 56, Street 3, D Ground, Faisalabad",Bank Alfalah,Foreign Currency,2021-07-11,4770989
PK88-6009789645,A. Bukhari,H#56 St-3 DGround Faisalabad,JS Bank,Foreign Currency,2023-07-04,3173566
PK42-7629863810,U. Sandhu,"House No. 233, Gali 25, Gulgasht, Multan",Allied Bank,Foreign Currency,2020-05-22,6831489
PK98-5352407908,Sardar Umar Sandhu,"House No. 233, Gali 25, Gulgasht, Multan",UBL,Current,2022-10-07,6641481
PK43-5442031846,Umar Sandhu,"House No. 233, Gali 25, Gulgasht, Multan",Askari Bank,Current,2018-10-20,4468036
PK28-3798663684,F. Kayani,"House 324, Street 38, Madina Town, Faisalabad",Askari Bank,Foreign Currency,2019-07-07,5998656
PK18-9286879876,Faisal Kayani,مکان 324 گلی 38 Madina Town Faisalabad,Bank Alfalah,Foreign Currency,2024-01-09,5214245
PK10-2599327392,F.Kayani,مکان 324 گلی 38 Madina Town Faisalabad,HBL,Savings,2021-06-28,3327086
PK73-4105571794,S.Abbasi,"House No. 43, Gali 7, Gulbahar, Peshawar",Allied Bank,Foreign Currency,2018-09-09,4150069
PK39-9053716169,Rana Sadia Abbasi,مکان 43 گلی 7 Gulbahar Peshawar,MCB,Current,2024-06-15,6456372
PK37-9460651102,S.Abbasi,"House No. 43, Gali 7, Gulbahar, Peshawar",MCB,Foreign Currency,2019-09-22,4571608
PK23-5043722326,Malik Sadia Abbasi,مکان 43 گلی 7 Gulbahar Peshawar,HBL,Current,2018-04-29,1504341
PK40-9173290600,Mansoor Durrani,"House 320, Street 26, Gulberg III, Lahore",Allied Bank,Savings,2021-08-16,2249395
PK22-9222098406,Mansoor Durrani,"House 320, Street 26, Gulberg III, Lahore",Askari Bank,Savings,2023-05-01,5328303
PK39-8308579422,Mansoor Durrani,مکان 320 گلی 26 Gulberg III لاہور,JS Bank,Foreign Currency,2020-04-07,3654989
PK65-9608757528,Uzma Khan,H#18 St-18 MadinaTown Faisalabad,Askari Bank,Current,2018-06-25,4415908
PK53-4301508211,Syed Uzma Khan,"House 18, Street 18, Madina Town, Faisalabad",Askari Bank,Current,2019-06-06,6729562
PK76-3571963210,Z. Malik,مکان 242 گلی 39 Gulbahar Peshawar,MCB,Current,2020-03-11,7372140
PK93-7516777230,Syed Zara Malik,H#242 St-39 Gulbahar Peshawar,HBL,Foreign Currency,2021-08-15,7505570
PK85-4854634977,Zara Malik,H#242 St-39 Gulbahar Peshawar,Allied Bank,Current,2019-06-09,3914666
PK70-5095142916,Zara Malik,مکان 242 گلی 39 Gulbahar Peshawar,Bank Alfalah,Savings,2024-04-18,4726119
PK77-6817874406,Iqra Khokhar,مکان 47 گلی 12 G-10/2 اسلام آباد,HBL,Foreign Currency,2019-04-10,5941858
PK69-7892457190,I.Khokhar,"House No. 47, Gali 12, G-10/2, Islamabad",JS Bank,Current,2023-01-12,3548686
PK19-5360013309,I.Khokhar,"House No. 47, Gali 12, G-10/2, Islamabad",UBL,Current,2025-10-29,6187481
PK60-4296742496,Iqra Khokhar,"House 47, Street 12, G-10/2, Islamabad",MCB,Savings,2018-02-01,4775333
PK93-3936613540,T.Shirazi,H#189 St-24 BahriaPhase4 Rawalpindi,JS Bank,Savings,2023-05-31,7464915
PK33-2502197656,T. Shirazi,"House No. 189, Gali 24, Bahria Phase 4, Rawalpindi",MCB,Foreign Currency,2024-04-03,2880654
PK62-3722406054,Rana Rashid Khattak,مکان 222 گلی 8 Cantt Multan,Meezan Bank,Foreign Currency,2021-02-05,2935254
PK99-3319294709,Rashid Khattak,مکان 222 گلی 8 Cantt Multan,Allied Bank,Foreign Currency,2023-11-10,3902294
PK44-6202887674,R. Khattak,H#222 St-8 Cantt Multan,Meezan Bank,Current,2018-02-28,2861141
PK73-7588884205,Rashid Khattak,"House 222, Street 8, Cantt, Multan",Bank Alfalah,Foreign Currency,2024-06-11,7111021
PK85-2973516262,Sardar Adnan Warraich,H#140 St-1 ChaklalaScheme3 Rawalpindi,JS Bank,Savings,2021-10-08,2812996
PK41-5679026835,Adnan Warraich,"House 140, Street 1, Chaklala Scheme 3, Rawalpindi",Meezan Bank,Foreign Currency,2021-01-10,7664485
PK54-8673890032,Waseem Mirza,"House No. 172, Gali 30, G-13/1, Islamabad",UBL,Savings,2023-05-28,5913504
PK52-6523211255,W. Mirza,مکان 172 گلی 30 G-13/1 اسلام آباد,Meezan Bank,Foreign Currency,2019-10-03,6770813
PK32-8458374890,Mian Waseem Mirza,H#172 St-30 G-13/1 Islamabad,JS Bank,Savings,2021-05-26,6847272
PK12-9091691117,Waseem Mirza,H#172 St-30 G-13/1 Islamabad,MCB,Savings,2019-01-26,7051893
PK14-1712452586,T. Awan,"House No. 16, Gali 14, DHA Phase 5, Lahore",Meezan Bank,Savings,2023-08-29,4403339
PK78-7271953037,T. Awan,"House 16, Street 14, DHA Phase 5, Lahore",Bank Alfalah,Savings,2022-03-24,3281450
PK97-9158375738,Syed Talha Awan,مکان 16 گلی 14 DHA Phase 5 لاہور,JS Bank,Savings,2024-04-07,7550298
PK96-2013758669,Junaid Niazi,مکان 133 گلی 24 Satellite Town راولپنڈی,Meezan Bank,Foreign Currency,2020-03-08,3052096
PK30-8940106660,J. Niazi,H#133 St-24 SatelliteTown Rawalpindi,JS Bank,Savings,2019-09-08,6968170
PK73-4012555687,J. Niazi,مکان 133 گلی 24 Satellite Town راولپنڈی,HBL,Current,2025-09-26,2981771
PK42-5372588483,Chaudhary Junaid Niazi,H#133 St-24 SatelliteTown Rawalpindi,UBL,Foreign Currency,2021-10-03,7193122
PK70-9891731738,Naveed Joiya,"House No. 127, Gali 16, D Ground, Faisalabad",Askari Bank,Savings,2023-08-20,6878837
PK37-1149055992,Mian Naveed Joiya,"House 127, Street 16, D Ground, Faisalabad",Allied Bank,Foreign Currency,2021-03-18,3354487
PK20-6288290624,K.Yousafzai,"House 166, Street 11, Bahria Phase 4, Rawalpindi",Meezan Bank,Savings,2019-08-17,5431376
PK63-2575948501,Kinza Yousafzai,"House No. 166, Gali 11, Bahria Phase 4, Rawalpindi",JS Bank,Current,2020-12-23,4368188
PK39-4290435978,Kinza Yousafzai,H#166 St-11 BahriaPhase4 Rawalpindi,Allied Bank,Current,2018-01-31,2009919
PK59-6143098390,K.Yousafzai,"House No. 166, Gali 11, Bahria Phase 4, Rawalpindi",Askari Bank,Foreign Currency,2024-10-09,7166951
PK46-1645809844,T.Tarar,"House 234, Street 18, Johar Town, Lahore",UBL,Savings,2018-04-05,7060988
PK13-1567246690,Sardar Tooba Tarar,H#234 St-18 JoharTown Lahore,Bank Alfalah,Savings,2024-03-02,6158058
PK22-3203108334,B. Kazmi,"House No. 265, Gali 8, D Ground, Faisalabad",Bank Alfalah,Savings,2021-01-07,2309973
PK83-5797315608,Bushra Kazmi,"House No. 265, Gali 8, D Ground, Faisalabad",Bank Alfalah,Current,2021-12-31,5959020
PK91-1020399874,B. Kazmi,H#265 St-8 DGround Faisalabad,JS Bank,Foreign Currency,2024-10-02,7173299
PK40-2974956799,B. Qureshi,"House No. 391, Gali 34, Shah Rukn-e-Alam, Multan",MCB,Savings,2023-05-08,7161606
PK22-8819848116,بلال قریشی,"House 391, Street 34, Shah Rukn-e-Alam, Multan",Meezan Bank,Foreign Currency,2021-01-27,4792448
PK45-1352416261,بلال قریشی,"House No. 391, Gali 34, Shah Rukn-e-Alam, Multan",JS Bank,Savings,2023-12-28,7892513
PK24-4894535585,Mubashir Kazmi,H#262 St-13 Westridge Rawalpindi,JS Bank,Current,2024-01-25,7816428
PK50-4078579828,M.Kazmi,مکان 262 گلی 13 Westridge راولپنڈی,Meezan Bank,Savings,2024-01-21,1652474
PK46-9033614316,M. Kazmi,H#262 St-13 Westridge Rawalpindi,Bank Alfalah,Savings,2018-06-20,5434810
PK60-7353470491,Malik Mubashir Kazmi,"House 262, Street 13, Westridge, Rawalpindi",Askari Bank,Foreign Currency,2018-01-08,2746462
PK85-4005521436,Kamran Warraich,"House No. 379, Gali 38, B-17, Islamabad",HBL,Foreign Currency,2018-09-19,4341868
PK31-3326123182,Kamran Warraich,"House 379, Street 38, B-17, Islamabad",HBL,Foreign Currency,2019-07-29,7707664
PK66-9250426699,Kamran Warraich,"House 379, Street 38, B-17, Islamabad",Askari Bank,Foreign Currency,2024-02-04,6162054
PK40-1467040297,فاطمہ Kayani,"House 7, Street 7, DHA Phase 5, Lahore",UBL,Current,2023-10-26,7670766
PK98-5569281656,Chaudhary Fatima Kayani,H#7 St-7 DHAPhase5 Lahore,HBL,Foreign Currency,2021-11-23,2860114
PK31-8870133041,F.Kayani,H#7 St-7 DHAPhase5 Lahore,Bank Alfalah,Savings,2018-01-06,2990558
PK81-7517536792,F. Kayani,"House 7, Street 7, DHA Phase 5, Lahore",Allied Bank,Savings,2023-01-08,6918841
PK43-3466404456,Mansoor Naqvi,H#102 St-32 Westridge Rawalpindi,Allied Bank,Savings,2018-12-22,6982763
PK68-7746718261,Mansoor Naqvi,"House No. 102, Gali 32, Westridge, Rawalpindi",Meezan Bank,Savings,2023-05-02,7437718
PK90-5134175327,Bushra Siddiqui,"House No. 97, Gali 12, Cantt, Multan",MCB,Foreign Currency,2023-08-22,6482995
PK53-3650505552,B.Siddiqui,"House No. 97, Gali 12, Cantt, Multan",Allied Bank,Savings,2020-01-09,7430464
PK59-3829915861,Malik Bushra Siddiqui,"House No. 97, Gali 12, Cantt, Multan",UBL,Current,2022-04-16,4033562
PK13-8108853750,Bushra Siddiqui,H#97 St-12 Cantt Multan,Allied Bank,Current,2023-11-18,2051876
PK73-2710519910,F.Mehsud,"House 34, Street 37, D Ground, Faisalabad",HBL,Current,2018-01-20,4235748
PK52-8925812247,F.Mehsud,H#34 St-37 DGround Faisalabad,MCB,Foreign Currency,2022-04-23,7839288
PK11-3789079704,Zara Zaidi,"House 170, Street 13, Wapda Town, Lahore",Meezan Bank,Current,2023-10-13,6880256
PK79-1268839056,Sardar Zara Zaidi,H#170 St-13 WapdaTown Lahore,MCB,Foreign Currency,2019-07-25,3244562
PK29-8785871834,Z. Zaidi,مکان 170 گلی 13 Wapda Town لاہور,UBL,Savings,2024-06-01,7457745
PK15-2854086057,Iqra Shirazi,"House No. 331, Gali 13, Peoples Colony, Faisalabad",Allied Bank,Current,2022-04-11,6755114
PK34-7276975103,Iqra Shirazi,مکان 331 گلی 13 Peoples Colony Faisalabad,JS Bank,Savings,2024-12-06,5388610
PK16-1384593598,N.Joiya,"House No. 56, Gali 18, University Town, Peshawar",Meezan Bank,Savings,2021-09-21,3355079
PK13-8232465361,Noor Joiya,"House No. 56, Gali 18, University Town, Peshawar",JS Bank,Foreign Currency,2023-03-14,1648339
PK28-5588069500,Noor Joiya,"House 56, Street 18, University Town, Peshawar",Bank Alfalah,Foreign Currency,2018-08-04,2202472
PK65-5513599193,S.Tarar,"House 253, Street 26, DHA Phase 5, Lahore",UBL,Savings,2024-10-15,7042595
PK60-2940618591,Saad Tarar,H#253 St-26 DHAPhase5 Lahore,Askari Bank,Foreign Currency,2018-03-06,1201357
PK15-6976729872,Saad Tarar,مکان 253 گلی 26 DHA Phase 5 لاہور,MCB,Savings,2021-10-24,3403906
PK24-3536381065,A.Sandhu,"House No. 204, Gali 14, Peoples Colony, Faisalabad",Bank Alfalah,Current,2024-05-31,5844785
PK75-1973147156,A.Sandhu,مکان 204 گلی 14 Peoples Colony Faisalabad,Bank Alfalah,Savings,2022-11-03,3189250
PK58-7862090272,A. Sandhu,"House 204, Street 14, Peoples Colony, Faisalabad",Meezan Bank,Savings,2023-06-07,6380048
PK77-8441697537,Sardar Ahmed Sandhu,مکان 204 گلی 14 Peoples Colony Faisalabad,Bank Alfalah,Savings,2024-01-18,6155484
PK54-8289518601,L. Virk,"House 381, Street 14, Hayatabad Phase 3, Peshawar",Meezan Bank,Foreign Currency,2021-03-25,7474893
PK93-8928606059,Laiba Virk,H#381 St-14 HayatabadPhase3 Peshawar,Allied Bank,Savings,2024-02-11,2125632
PK39-7674191405,D.Ansari,H#106 St-32 UniversityTown Peshawar,HBL,Savings,2018-05-23,3808918
PK27-2396391299,Danish Ansari,"House 106, Street 32, University Town, Peshawar",MCB,Savings,2023-10-15,5538498
PK36-5408752602,Nadia Kazmi,"House No. 267, Gali 7, Peoples Colony, Faisalabad",HBL,Foreign Currency,2024-09-21,2283460
PK80-4001455334,Nadia Kazmi,H#267 St-7 PeoplesColony Faisalabad,Askari Bank,Current,2022-06-18,4646400
PK15-6535996058,Malik Farhan Bangash,H#251 St-8 UniversityTown Peshawar,HBL,Savings,2020-05-03,6128102
PK77-7099345261,F.Bangash,H#251 St-8 UniversityTown Peshawar,MCB,Savings,2021-04-08,2103364
PK58-9350027125,Farhan Bangash,"House 251, Street 8, University Town, Peshawar",JS Bank,Savings,2019-03-13,7907524
PK39-2367601809,Mian Farhan Bangash,مکان 251 گلی 8 University Town Peshawar,Allied Bank,Current,2019-03-08,2164989
PK60-6030214525,Kinza Butt,H#244 St-17 CliftonBlock2 Karachi,HBL,Savings,2019-02-13,6772612
PK91-6922912549,K. Butt,H#244 St-17 CliftonBlock2 Karachi,MCB,Current,2025-07-18,1894097
PK90-2050246460,Kinza بٹ,"House No. 244, Gali 17, Clifton Block 2, Karachi",Bank Alfalah,Savings,2022-04-03,6636605
PK25-5682254624,N.Rizvi,مکان 324 گلی 5 D Ground Faisalabad,Askari Bank,Savings,2018-09-10,5630612
PK89-4126587764,Haji Noman Rizvi,مکان 324 گلی 5 D Ground Faisalabad,MCB,Foreign Currency,2020-01-30,6105526
PK96-1595806464,Noman Rizvi,"House No. 324, Gali 5, D Ground, Faisalabad",Meezan Bank,Current,2024-04-14,3105859
PK31-5315761500,N. Rizvi,H#324 St-5 DGround Faisalabad,MCB,Savings,2023-08-08,6268498
PK20-8398945884,T.Cheema,"House No. 333, Gali 37, Bahria Phase 4, Rawalpindi",MCB,Savings,2022-04-15,4729290
PK45-7053711710,Rana Tariq Cheema,"House 333, Street 37, Bahria Phase 4, Rawalpindi",Bank Alfalah,Foreign Currency,2021-07-08,5322627
PK75-8243403580,Sardar Tariq Cheema,مکان 333 گلی 37 Bahria Phase 4 راولپنڈی,HBL,Current,2025-04-29,6570658
PK58-1213265189,Tariq Cheema,"House 333, Street 37, Bahria Phase 4, Rawalpindi",Allied Bank,Savings,2023-11-07,2545640
PK89-8066140626,J. Lodhi,"House No. 357, Gali 23, E-11/2, Islamabad",HBL,Savings,2021-10-16,7258649
PK44-8193429592,J. Lodhi,"House 357, Street 23, E-11/2, Islamabad",UBL,Current,2025-02-09,3464867
PK48-2997606119,R. Khattak,H#134 St-11 GulbergIII Lahore,MCB,Foreign Currency,2019-09-21,3667189
PK31-7848440516,R. Khattak,"House 134, Street 11, Gulberg III, Lahore",MCB,Foreign Currency,2020-09-07,7268829
PK72-7315739050,R.Khattak,H#134 St-11 GulbergIII Lahore,UBL,Current,2020-07-01,6891254
PK59-2602607382,H.Durrani,"House No. 313, Gali 4, Westridge, Rawalpindi",Bank Alfalah,Savings,2023-07-17,5804800
PK14-4524873327,H.Durrani,"House 313, Street 4, Westridge, Rawalpindi",MCB,Savings,2025-01-05,5876416
PK89-9147794194,H.Durrani,مکان 313 گلی 4 Westridge راولپنڈی,MCB,Savings,2025-05-08,4455257
PK83-8182578418,Chaudhary Tariq Malik,"House No. 388, Gali 27, Peoples Colony, Faisalabad",Allied Bank,Savings,2023-10-09,2393329
PK80-9702636354,Mian Tariq Malik,"House No. 388, Gali 27, Peoples Colony, Faisalabad",JS Bank,Foreign Currency,2023-12-04,7367304
PK78-4790556076,Tariq Malik,H#388 St-27 PeoplesColony Faisalabad,Askari Bank,Foreign Currency,2025-07-15,4047079
PK46-7803362397,Rana Tariq Mughal,H#393 St-40 NorthNazimabad Karachi,Meezan Bank,Current,2024-07-15,4711970
PK86-2674257132,Tariq Mughal,"House No. 393, Gali 40, North Nazimabad, Karachi",Askari Bank,Foreign Currency,2020-06-21,6303137
PK66-8127672064,Tariq Mughal,"House 393, Street 40, North Nazimabad, Karachi",Askari Bank,Savings,2020-10-12,7436219
PK85-5397512908,Tariq Mughal,مکان 393 گلی 40 North Nazimabad کراچی,Allied Bank,Current,2022-11-14,5087636
PK24-6966280645,Hafsa Kakar,"House 207, Street 37, Westridge, Rawalpindi",Askari Bank,Savings,2025-05-31,1816321
PK82-9854735149,Hafsa Kakar,مکان 207 گلی 37 Westridge راولپنڈی,Meezan Bank,Savings,2018-05-11,3945545
PK43-8466861497,T.Shirazi,مکان 344 گلی 39 Chaklala Scheme 3 راولپنڈی,Allied Bank,Savings,2019-07-14,1871193
PK97-1360714596,T. Shirazi,H#344 St-39 ChaklalaScheme3 Rawalpindi,UBL,Savings,2022-07-05,2573631
PK16-1917057642,Mian Talha Shirazi,"House No. 344, Gali 39, Chaklala Scheme 3, Rawalpindi",JS Bank,Foreign Currency,2025-06-18,1706487
PK44-9255897178,Talha Shirazi,H#344 St-39 ChaklalaScheme3 Rawalpindi,Allied Bank,Savings,2018-04-03,2775075
