vehicle_reg_no,owner_name,engine_capacity_cc,vehicle_make_model,registration_year,owner_address
KAR-4313,Javeria Bukhari,660,Suzuki Alto,2019,"House 350, Street 39, Gulgasht, Multan"
ICT-8577,Chaudhary Ehsan Rizvi,2000,Hyundai Tucson,2017,"House No. 324, Gali 5, D Ground, Faisalabad"
ICT-4840,A. Janjua,2000,Audi e-tron,2017,H#179 St-20 PeoplesColony Faisalabad
AFR-1875,A. Janjua,1500,Honda Civic RS,2026,H#179 St-20 PeoplesColony Faisalabad
LEA-2427,A. Janjua,2000,Hyundai Tucson,2025,H#179 St-20 PeoplesColony Faisalabad
RIR-6081,I.Sial,3300,Toyota Land Cruiser ZX,2026,مکان 97 گلی 40 Gulgasht Multan
RIR-1794,I.Sial,1800,Toyota Corolla Altis,2022,مکان 97 گلی 40 Gulgasht Multan
LEA-6351,I.Sial,2000,Mercedes C200,2022,مکان 97 گلی 40 Gulgasht Multan
RIR-7376,Talha Khattak,2000,Audi e-tron,2022,"House 192, Street 16, University Town, Peshawar"
KAR-1645,Talha Khattak,2000,Audi e-tron,2020,"House 192, Street 16, University Town, Peshawar"
ICT-1400,Talha Khattak,2000,Audi e-tron,2017,"House 192, Street 16, University Town, Peshawar"
KAR-9573,Anas Khokhar,1200,Honda City,2026,"142-33 D Ground, Faisalabad"
LEA-2002,N.Butt,2000,Hyundai Tucson,2021,مکان 31 گلی 1 Gulgasht Multan
ICT-5513,N.Butt,3300,Toyota Land Cruiser ZX,2020,مکان 31 گلی 1 Gulgasht Multan
LEA-6032,S. Mughal,2700,Toyota Fortuner,2017,H#105 St-35 UniversityTown Peshawar
AFR-545,S. Mughal,2700,Toyota Prado TX,2021,H#105 St-35 UniversityTown Peshawar
KAR-7497,S. Mughal,2000,Hyundai Tucson,2019,H#105 St-35 UniversityTown Peshawar
LEA-687,Sajid Hashmi,70,Honda CD-70,2023,"127-27 G-10/2, Islamabad"
ICT-4487,Sardar Shoaib Lodhi,800,Suzuki Mehran,2017,"House No. 123, Gali 20, G-10/2, Islamabad"
LEA-2203,T.Tarar,1800,Toyota Corolla Altis,2018,مکان 227 گلی 10 Shah Rukn-e-Alam Multan
AFR-4588,Noman Mehsud,2700,Toyota Prado TX,2020,"269-22 North Nazimabad, Karachi"
LEA-2942,Noman Mehsud,2700,Toyota Prado TX,2024,"269-22 North Nazimabad, Karachi"
AFR-1796,G. Warraich,2700,Toyota Fortuner,2025,H#367 St-19 JoharTown Lahore
ICT-9263,بلال Tareen,660,Suzuki Alto,2018,"363-11 Satellite Town, Rawalpindi"
LEA-7089,S. Tareen,1300,Toyota Corolla GLi,2026,H#79 St-35 JoharTown Lahore
KAR-8346,F. Malik,1000,Suzuki Cultus,2022,H#30 St-26 DGround Faisalabad
LEA-1620,A. Shirazi,2000,Audi e-tron,2021,H#294 St-18 UniversityTown Peshawar
KAR-4442,W. Afridi,2000,Mercedes C200,2022,H#35 St-25 PeoplesColony Faisalabad
AFR-7949,W. Afridi,2000,Audi e-tron,2026,H#35 St-25 PeoplesColony Faisalabad
KAR-2646,Gul Tareen,2000,Mercedes C200,2017,"House 269, Street 30, North Nazimabad, Karachi"
AFR-1817,Gul Tareen,2000,Mercedes C200,2025,"House 269, Street 30, North Nazimabad, Karachi"
ICT-7035,J.Kazmi,1000,Suzuki Cultus,2022,مکان 65 گلی 3 University Town Peshawar
LEA-1689,K.Virk,2000,Mercedes C200,2026,مکان 13 گلی 21 Gulberg III لاہور
RIR-6903,K.Virk,2000,Mercedes C200,2025,مکان 13 گلی 21 Gulberg III لاہور
KAR-367,K.Virk,2000,Audi e-tron,2021,مکان 13 گلی 21 Gulberg III لاہور
LEA-4852,Rashid Joiya,70,Honda CD-70,2022,"House 389, Street 9, Gulbahar, Peshawar"
ICT-7211,Sufyan Kayani,1500,Honda Civic RS,2020,"House 239, Street 30, North Nazimabad, Karachi"
RIR-9925,Sufyan Kayani,2000,Hyundai Tucson,2021,"House 239, Street 30, North Nazimabad, Karachi"
KAR-3560,Faisal Shirazi,1000,Suzuki Cultus,2018,"263-36 Gulberg III, Lahore"
AFR-3256,Sardar Owais Kazmi,2000,Mercedes C200,2021,"House No. 52, Gali 10, Satellite Town, Rawalpindi"
AFR-5643,Haji Owais Kazmi,1800,Toyota Corolla Altis,2018,"House No. 52, Gali 10, Satellite Town, Rawalpindi"
KAR-3937,Syed Owais Kazmi,3300,Toyota Land Cruiser ZX,2024,"House No. 52, Gali 10, Satellite Town, Rawalpindi"
KAR-6260,Haji Sana Sandhu,660,Suzuki Alto,2018,"House No. 207, Gali 22, E-11/2, Islamabad"
AFR-5710,Ayesha Chaudhry,1000,Suzuki Cultus,2017,"House 170, Street 29, Westridge, Rawalpindi"
RIR-1813,Waseem Warraich,2000,Mercedes C200,2025,"23-20 Satellite Town, Rawalpindi"
AFR-6788,Kamran Gondal,1500,Honda Civic RS,2019,"House 345, Street 32, DHA Phase 6, Karachi"
KAR-2909,Kamran Gondal,2000,Audi e-tron,2026,"House 345, Street 32, DHA Phase 6, Karachi"
LEA-2020,Kamran Gondal,2000,Hyundai Tucson,2026,"House 345, Street 32, DHA Phase 6, Karachi"
ICT-9763,N.Gilani,2000,Audi e-tron,2025,مکان 380 گلی 22 D Ground Faisalabad
LEA-571,N.Gilani,2000,Hyundai Tucson,2020,مکان 380 گلی 22 D Ground Faisalabad
RIR-4735,N.Gilani,2700,Toyota Prado TX,2017,مکان 380 گلی 22 D Ground Faisalabad
RIR-8169,بلال Bukhari,2700,Toyota Prado TX,2018,"55-10 Gulberg III, Lahore"
LEA-7194,بلال Bukhari,3300,Toyota Land Cruiser ZX,2018,"55-10 Gulberg III, Lahore"
ICT-5361,بلال Bukhari,2000,Mercedes C200,2018,"55-10 Gulberg III, Lahore"
KAR-5114,Z. Orakzai,1000,Suzuki Cultus,2019,H#186 St-27 DGround Faisalabad
KAR-7614,Chaudhary Nimra Rajput,660,Suzuki Alto,2026,"House No. 397, Gali 21, Cantt, Multan"
ICT-7218,حسن Cheema,1000,Suzuki Cultus,2019,"158-16 DHA Phase 5, Lahore"
LEA-5777,Asad Lodhi,1000,Suzuki Cultus,2022,"316-34 Madina Town, Faisalabad"
KAR-4630,Ehsan Wazir,2000,Audi e-tron,2017,"232-23 Westridge, Rawalpindi"
KAR-9978,Ehsan Wazir,2000,Hyundai Tucson,2021,"232-23 Westridge, Rawalpindi"
ICT-4241,A. Niazi,1000,Suzuki Cultus,2017,H#108 St-16 ShahRukn-e-Alam Multan
RIR-8110,Rauf Tarar,1500,Honda Civic RS,2023,"House 343, Street 36, B-17, Islamabad"
LEA-9774,Rauf Tarar,2000,Audi e-tron,2017,"House 343, Street 36, B-17, Islamabad"
KAR-5822,Rauf Tarar,2700,Toyota Prado TX,2019,"House 343, Street 36, B-17, Islamabad"
RIR-8766,Sardar Mansoor Baig,2000,Mercedes C200,2023,"House No. 26, Gali 3, DHA Phase 5, Lahore"
RIR-3640,L. Bhatti,800,Suzuki Mehran,2017,H#168 St-28 DHAPhase6 Karachi
LEA-8348,K.Tarar,2000,Hyundai Tucson,2018,مکان 172 گلی 10 E-11/2 اسلام آباد
RIR-9861,K.Tarar,3300,Toyota Land Cruiser ZX,2020,مکان 172 گلی 10 E-11/2 اسلام آباد
RIR-7479,K.Tarar,2700,Toyota Prado TX,2026,مکان 172 گلی 10 E-11/2 اسلام آباد
KAR-1931,Noor Ansari,70,Honda CD-70,2019,"House 395, Street 1, Clifton Block 2, Karachi"
AFR-8720,Mehwish Baig,1200,Honda City,2026,"House 233, Street 38, Clifton Block 2, Karachi"
LEA-9400,Malik Taimoor Kayani,2000,Audi e-tron,2021,"House No. 118, Gali 38, DHA Phase 5, Lahore"
RIR-9253,Rana Taimoor Kayani,1500,Honda Civic RS,2017,"House No. 118, Gali 38, DHA Phase 5, Lahore"
RIR-2818,Pervez Malik,1300,Toyota Corolla GLi,2020,"House 393, Street 20, D Ground, Faisalabad"
ICT-2849,Syed Zafar Malik,1200,Honda City,2025,"House No. 384, Gali 17, F-8/3, Islamabad"
ICT-4818,Malik Muhammad Janjua,70,Honda CD-70,2019,"House No. 92, Gali 8, I-8/4, Islamabad"
AFR-6229,Umar Rizvi,660,Suzuki Alto,2025,"House 318, Street 6, DHA Phase 5, Lahore"
AFR-7202,Sardar Zafar Tareen,1000,Suzuki Cultus,2020,"House No. 16, Gali 22, Shah Rukn-e-Alam, Multan"
KAR-3318,R. Mughal,660,Suzuki Alto,2025,H#397 St-38 Westridge Rawalpindi
ICT-210,Z. Cheema,2000,Audi e-tron,2019,H#162 St-30 CliftonBlock2 Karachi
RIR-5613,Mahnoor Awan,660,Suzuki Alto,2025,"House 284, Street 36, North Nazimabad, Karachi"
RIR-245,Ehsan Tarar,1200,Honda City,2023,"House 187, Street 5, G-13/1, Islamabad"
RIR-978,O. Tarar,660,Suzuki Alto,2018,H#171 St-18 B-17 Islamabad
ICT-5969,Syed Muhammad Qureshi,1200,Honda City,2023,"House No. 241, Gali 24, Clifton Block 2, Karachi"
KAR-6493,Malik Tariq Cheema,1800,Toyota Corolla Altis,2026,"House No. 333, Gali 37, Bahria Phase 4, Rawalpindi"
LEA-2861,Hafsa Kazmi,1500,Honda Civic RS,2023,"3-34 Westridge, Rawalpindi"
LEA-6343,Hafsa Kazmi,1800,Toyota Corolla Altis,2023,"3-34 Westridge, Rawalpindi"
AFR-4368,R.Dar,2000,Audi e-tron,2024,مکان 199 گلی 13 D Ground Faisalabad
RIR-638,R.Dar,2000,Mercedes C200,2023,مکان 199 گلی 13 D Ground Faisalabad
AFR-5778,O. Bukhari,2000,Mercedes C200,2017,H#128 St-40 GulbergIII Lahore
LEA-8207,O. Bukhari,3300,Toyota Land Cruiser ZX,2021,H#128 St-40 GulbergIII Lahore
LEA-3012,D.Janjua,1200,Honda City,2020,مکان 375 گلی 5 Cantt Multan
AFR-5721,محمد Khattak,1500,Honda Civic RS,2018,"357-1 Satellite Town, Rawalpindi"
RIR-4565,محمد Khattak,2000,Hyundai Tucson,2025,"357-1 Satellite Town, Rawalpindi"
LEA-985,محمد Khattak,3300,Toyota Land Cruiser ZX,2022,"357-1 Satellite Town, Rawalpindi"
KAR-8230,T.Abbasi,2700,Toyota Fortuner,2026,مکان 181 گلی 13 Westridge راولپنڈی
RIR-2044,T.Abbasi,2700,Toyota Fortuner,2024,مکان 181 گلی 13 Westridge راولپنڈی
RIR-4916,Chaudhary Muhammad Sial,1800,Toyota Corolla Altis,2017,"House No. 32, Gali 4, DHA Phase 6, Karachi"
LEA-8305,Sardar Muhammad Sial,1800,Toyota Corolla Altis,2025,"House No. 32, Gali 4, DHA Phase 6, Karachi"
RIR-2813,R.Mirza,2000,Hyundai Tucson,2024,مکان 219 گلی 1 Johar Town لاہور
LEA-9789,U.Gondal,2000,Audi e-tron,2021,مکان 353 گلی 18 DHA Phase 6 کراچی
RIR-8138,U.Gondal,1500,Honda Civic RS,2023,مکان 353 گلی 18 DHA Phase 6 کراچی
ICT-1313,U.Gondal,1500,Honda Civic RS,2019,مکان 353 گلی 18 DHA Phase 6 کراچی
KAR-1020,Sajid Durrani,2000,Hyundai Tucson,2023,"131-7 Wapda Town, Lahore"
RIR-6698,R.Qureshi,3300,Toyota Land Cruiser ZX,2018,مکان 130 گلی 16 Chaklala Scheme 3 راولپنڈی
ICT-7873,R.Qureshi,1800,Toyota Corolla Altis,2022,مکان 130 گلی 16 Chaklala Scheme 3 راولپنڈی
AFR-8953,R.Qureshi,1800,Toyota Corolla Altis,2019,مکان 130 گلی 16 Chaklala Scheme 3 راولپنڈی
ICT-6217,Adnan Malik,660,Suzuki Alto,2023,"House 215, Street 37, Wapda Town, Lahore"
RIR-1820,Sardar Asad Gilani,1000,Suzuki Cultus,2021,"House No. 211, Gali 3, Bahria Phase 4, Rawalpindi"
RIR-4313,A.Mehsud,70,Honda CD-70,2022,مکان 368 گلی 9 Madina Town Faisalabad
AFR-5933,Bushra Tareen,1000,Suzuki Cultus,2023,"House 4, Street 32, Gulgasht, Multan"
RIR-8526,A. Lodhi,1500,Honda Civic RS,2023,H#357 St-23 E-11/2 Islamabad
RIR-3069,Farah Lodhi,1300,Toyota Corolla GLi,2022,"House 81, Street 15, Bahria Phase 4, Rawalpindi"
AFR-6692,I.Afridi,1000,Suzuki Cultus,2026,مکان 352 گلی 28 University Town Peshawar
ICT-5343,J.Butt,1300,Toyota Corolla GLi,2018,مکان 351 گلی 27 Peoples Colony Faisalabad
RIR-5304,D. Saddozai,2700,Toyota Fortuner,2024,H#58 St-36 Gulgasht Multan
RIR-4358,D. Saddozai,2000,Mercedes C200,2020,H#58 St-36 Gulgasht Multan
RIR-2146,Danish Awan,2000,Mercedes C200,2021,"House 261, Street 39, Satellite Town, Rawalpindi"
RIR-6585,Danish Awan,2000,Audi e-tron,2017,"House 261, Street 39, Satellite Town, Rawalpindi"
ICT-6325,H.Rizvi,3300,Toyota Land Cruiser ZX,2025,مکان 134 گلی 22 I-8/4 اسلام آباد
ICT-6068,H.Rizvi,2000,Audi e-tron,2024,مکان 134 گلی 22 I-8/4 اسلام آباد
LEA-5980,H.Rizvi,2000,Audi e-tron,2023,مکان 134 گلی 22 I-8/4 اسلام آباد
LEA-8580,N.Gondal,1800,Toyota Corolla Altis,2024,مکان 46 گلی 34 Gulgasht Multan
AFR-9661,Farah Orakzai,2700,Toyota Prado TX,2019,"House 16, Street 6, B-17, Islamabad"
AFR-6535,Farah Orakzai,2000,Audi e-tron,2020,"House 16, Street 6, B-17, Islamabad"
RIR-5050,Ayesha Khattak,2700,Toyota Fortuner,2026,"House 134, Street 11, Gulberg III, Lahore"
AFR-8100,Irfan Hashmi,70,Honda CD-70,2022,"78-12 Peoples Colony, Faisalabad"
ICT-7480,Adnan Lodhi,660,Suzuki Alto,2018,"House 165, Street 24, Peoples Colony, Faisalabad"
KAR-7088,Haji Rida Butt,2000,Mercedes C200,2021,"House No. 21, Gali 31, D Ground, Faisalabad"
KAR-1459,Sardar Rida Butt,2000,Audi e-tron,2026,"House No. 21, Gali 31, D Ground, Faisalabad"
KAR-1591,Malik Rida Butt,3300,Toyota Land Cruiser ZX,2022,"House No. 21, Gali 31, D Ground, Faisalabad"
KAR-5671,Hamza Warraich,2700,Toyota Prado TX,2023,"64-36 Wapda Town, Lahore"
KAR-6073,Hamza Warraich,2000,Mercedes C200,2017,"64-36 Wapda Town, Lahore"
KAR-958,Hamza Warraich,2700,Toyota Prado TX,2024,"64-36 Wapda Town, Lahore"
KAR-9932,Yasir Abbasi,2700,Toyota Prado TX,2018,"House 73, Street 26, Cantt, Multan"
RIR-8030,Yasir Abbasi,2000,Mercedes C200,2025,"House 73, Street 26, Cantt, Multan"
ICT-1453,Yasir Abbasi,3300,Toyota Land Cruiser ZX,2020,"House 73, Street 26, Cantt, Multan"
ICT-4133,R.Qureshi,660,Suzuki Alto,2025,مکان 43 گلی 30 Gulberg III لاہور
KAR-9459,J. Tareen,1500,Honda Civic RS,2023,H#96 St-26 DHAPhase5 Lahore
AFR-6768,R. Malik,2000,Hyundai Tucson,2023,H#241 St-25 Cantt Multan
LEA-4101,Babar Durrani,2700,Toyota Fortuner,2020,"313-4 Westridge, Rawalpindi"
KAR-9925,Babar Durrani,2700,Toyota Fortuner,2017,"313-4 Westridge, Rawalpindi"
KAR-8459,Chaudhary Arsalan Dar,1000,Suzuki Cultus,2018,"House No. 392, Gali 23, Bahria Phase 4, Rawalpindi"
RIR-7678,Mansoor Durrani,2000,Mercedes C200,2021,"53-6 Bahria Phase 4, Rawalpindi"
AFR-6155,Mansoor Durrani,2000,Audi e-tron,2017,"53-6 Bahria Phase 4, Rawalpindi"
KAR-8820,Mansoor Durrani,2000,Mercedes C200,2018,"53-6 Bahria Phase 4, Rawalpindi"
AFR-2930,Zainab Sheikh,70,Honda CD-70,2024,"House 124, Street 38, Peoples Colony, Faisalabad"
AFR-3207,S. Butt,1000,Suzuki Cultus,2018,H#371 St-5 CliftonBlock2 Karachi
LEA-6072,Luqman Qureshi,660,Suzuki Alto,2021,"House 399, Street 36, North Nazimabad, Karachi"
ICT-5081,Malik Hassan Bukhari,2000,Mercedes C200,2026,"House No. 399, Gali 27, I-8/4, Islamabad"
KAR-9674,Syed Hassan Bukhari,1800,Toyota Corolla Altis,2020,"House No. 399, Gali 27, I-8/4, Islamabad"
LEA-2225,Malik Hassan Bukhari,1500,Honda Civic RS,2018,"House No. 399, Gali 27, I-8/4, Islamabad"
KAR-9675,Nimra Mehsud,660,Suzuki Alto,2020,"House 189, Street 40, Westridge, Rawalpindi"
AFR-3597,H. Naqvi,1200,Honda City,2023,H#147 St-7 Gulgasht Multan
ICT-2057,Ehsan ملک,2000,Hyundai Tucson,2025,"388-27 Peoples Colony, Faisalabad"
ICT-4011,Ehsan ملک,2000,Audi e-tron,2018,"388-27 Peoples Colony, Faisalabad"
RIR-6676,Ehsan ملک,3300,Toyota Land Cruiser ZX,2021,"388-27 Peoples Colony, Faisalabad"
KAR-8607,F.Janjua,660,Suzuki Alto,2026,مکان 172 گلی 22 Gulshan-e-Iqbal کراچی
LEA-4400,Shahzad Naqvi,2700,Toyota Fortuner,2023,"383-3 Madina Town, Faisalabad"
AFR-9181,Shahzad Naqvi,2700,Toyota Prado TX,2023,"383-3 Madina Town, Faisalabad"
LEA-3345,Sardar Usman Baig,660,Suzuki Alto,2026,"House No. 267, Gali 14, Hayatabad Phase 3, Peshawar"
RIR-3470,G. Sheikh,2700,Toyota Fortuner,2021,H#261 St-36 UniversityTown Peshawar
ICT-2038,G. Sheikh,2000,Mercedes C200,2020,H#261 St-36 UniversityTown Peshawar
ICT-3273,G. Sheikh,2700,Toyota Prado TX,2026,H#261 St-36 UniversityTown Peshawar
AFR-827,Mian Nadia Khattak,1200,Honda City,2024,"House No. 269, Gali 17, Bahria Phase 4, Rawalpindi"
AFR-5791,H. Joiya,2000,Audi e-tron,2018,H#176 St-20 HayatabadPhase3 Peshawar
KAR-8062,H. Joiya,2000,Hyundai Tucson,2020,H#176 St-20 HayatabadPhase3 Peshawar
AFR-7153,H. Joiya,1500,Honda Civic RS,2026,H#176 St-20 HayatabadPhase3 Peshawar
AFR-5907,Danish Khattak,1800,Toyota Corolla Altis,2024,"371-8 Wapda Town, Lahore"
KAR-6131,Chaudhary Ayesha Sandhu,2700,Toyota Prado TX,2024,"House No. 363, Gali 5, D Ground, Faisalabad"
RIR-5966,Malik Ayesha Sandhu,1800,Toyota Corolla Altis,2019,"House No. 363, Gali 5, D Ground, Faisalabad"
ICT-4500,Rana Ayesha Sandhu,3300,Toyota Land Cruiser ZX,2026,"House No. 363, Gali 5, D Ground, Faisalabad"
RIR-9435,K. Mughal,1800,Toyota Corolla Altis,2022,H#393 St-40 NorthNazimabad Karachi
LEA-857,Zubair Kakar,2700,Toyota Prado TX,2019,"House 207, Street 37, Westridge, Rawalpindi"
RIR-5136,Sana Shirazi,3300,Toyota Land Cruiser ZX,2023,"344-39 Chaklala Scheme 3, Rawalpindi"
RIR-8869,Sana Shirazi,2700,Toyota Fortuner,2021,"344-39 Chaklala Scheme 3, Rawalpindi"
ICT-3339,Sana Shirazi,1800,Toyota Corolla Altis,2023,"344-39 Chaklala Scheme 3, Rawalpindi"
ICT-5982,N. Bukhari,1000,Suzuki Cultus,2017,H#279 St-10 UniversityTown Peshawar
LEA-2161,F.Tarar,1500,Honda Civic RS,2017,مکان 111 گلی 1 Cantt Multan
LEA-7956,Umar Naqvi,2000,Mercedes C200,2023,"173-8 Wapda Town, Lahore"
RIR-6145,Umar Naqvi,2700,Toyota Prado TX,2021,"173-8 Wapda Town, Lahore"
AFR-7062,Mahnoor Kakar,1200,Honda City,2018,"House 140, Street 3, Wapda Town, Lahore"
AFR-831,Rauf Shirazi,70,Honda CD-70,2024,"33-4 North Nazimabad, Karachi"
RIR-4888,M. Cheema,2700,Toyota Prado TX,2026,H#25 St-5 HayatabadPhase3 Peshawar
ICT-1614,S. Shirazi,2700,Toyota Fortuner,2019,H#165 St-4 B-17 Islamabad
RIR-6065,S. Shirazi,1800,Toyota Corolla Altis,2017,H#165 St-4 B-17 Islamabad
ICT-7856,S. Shirazi,1500,Honda Civic RS,2026,H#165 St-4 B-17 Islamabad
AFR-7588,Sufyan Shirazi,2000,Mercedes C200,2022,"House 84, Street 4, Model Town, Lahore"
KAR-3281,Sufyan Shirazi,2000,Hyundai Tucson,2022,"House 84, Street 4, Model Town, Lahore"
LEA-3453,Sufyan Shirazi,2000,Audi e-tron,2019,"House 84, Street 4, Model Town, Lahore"
RIR-6169,Farhan Malik,1800,Toyota Corolla Altis,2022,"House 382, Street 32, Peoples Colony, Faisalabad"
RIR-1339,Farhan Malik,2700,Toyota Fortuner,2020,"House 382, Street 32, Peoples Colony, Faisalabad"
LEA-2015,Kamran Kakar,660,Suzuki Alto,2025,"12-26 University Town, Peshawar"
LEA-3656,Asad Khokhar,1500,Honda Civic RS,2026,"238-1 Peoples Colony, Faisalabad"
RIR-9402,Asad Khokhar,1800,Toyota Corolla Altis,2020,"238-1 Peoples Colony, Faisalabad"
ICT-778,Asad Khokhar,2700,Toyota Fortuner,2017,"238-1 Peoples Colony, Faisalabad"
ICT-6849,Fahad Gondal,2000,Mercedes C200,2019,"House 122, Street 33, University Town, Peshawar"
KAR-2610,Fahad Gondal,2700,Toyota Prado TX,2023,"House 122, Street 33, University Town, Peshawar"
RIR-7963,Fahad Gondal,2000,Audi e-tron,2025,"House 122, Street 33, University Town, Peshawar"
RIR-9194,Chaudhary Khalid Siddiqui,2000,Mercedes C200,2017,"House No. 230, Gali 5, Bahria Phase 4, Rawalpindi"
KAR-2675,Malik Khalid Siddiqui,2000,Audi e-tron,2024,"House No. 230, Gali 5, Bahria Phase 4, Rawalpindi"
LEA-6664,F.Kazmi,2700,Toyota Fortuner,2018,مکان 39 گلی 1 Bahria Phase 4 راولپنڈی
KAR-1587,Chaudhary Asad Afridi,800,Suzuki Mehran,2021,"House No. 266, Gali 27, Chaklala Scheme 3, Rawalpindi"
KAR-153,Sufyan Gondal,1800,Toyota Corolla Altis,2026,"House 119, Street 35, University Town, Peshawar"
AFR-3989,Mian Obaid Malik,2000,Hyundai Tucson,2026,"House No. 294, Gali 29, Johar Town, Lahore"
LEA-3413,Chaudhary Obaid Malik,2000,Audi e-tron,2017,"House No. 294, Gali 29, Johar Town, Lahore"
KAR-777,Zafar Orakzai,1200,Honda City,2024,"255-16 E-11/2, Islamabad"
AFR-5965,K.Rizvi,2000,Hyundai Tucson,2017,مکان 338 گلی 11 Satellite Town راولپنڈی
LEA-7220,K.Rizvi,2700,Toyota Prado TX,2024,مکان 338 گلی 11 Satellite Town راولپنڈی
RIR-1557,Rana Gul Wazir,70,Honda CD-70,2026,"House No. 398, Gali 22, DHA Phase 5, Lahore"
LEA-741,Rida Chaudhry,2000,Hyundai Tucson,2024,"House 395, Street 12, D Ground, Faisalabad"
RIR-6162,Rida Chaudhry,2700,Toyota Fortuner,2023,"House 395, Street 12, D Ground, Faisalabad"
LEA-9382,Rana Shahzad Butt,1800,Toyota Corolla Altis,2020,"House No. 18, Gali 39, University Town, Peshawar"
LEA-9354,Syed Shahzad Butt,2000,Mercedes C200,2025,"House No. 18, Gali 39, University Town, Peshawar"
AFR-8139,Haji Shahzad Butt,1800,Toyota Corolla Altis,2020,"House No. 18, Gali 39, University Town, Peshawar"
KAR-4786,A. Mirza,1800,Toyota Corolla Altis,2025,H#153 St-39 Cantt Multan
RIR-312,M. Chaudhry,800,Suzuki Mehran,2026,H#340 St-30 Gulgasht Multan
LEA-7233,Chaudhary Uzma Rizvi,3300,Toyota Land Cruiser ZX,2021,"House No. 1, Gali 26, Wapda Town, Lahore"
KAR-3304,B. Sandhu,2700,Toyota Prado TX,2021,H#196 St-40 UniversityTown Peshawar
AFR-9708,Mian Haris Awan,2000,Hyundai Tucson,2024,"House No. 151, Gali 12, Wapda Town, Lahore"
AFR-192,Chaudhary Haris Awan,2700,Toyota Prado TX,2018,"House No. 151, Gali 12, Wapda Town, Lahore"
KAR-9288,Chaudhary Haris Awan,2000,Audi e-tron,2024,"House No. 151, Gali 12, Wapda Town, Lahore"
ICT-2288,M. Gondal,800,Suzuki Mehran,2023,H#280 St-37 HayatabadPhase3 Peshawar
ICT-9114,Mian Asad Zaidi,1200,Honda City,2022,"House No. 190, Gali 24, Shah Rukn-e-Alam, Multan"
AFR-2440,Adnan Orakzai,1500,Honda Civic RS,2025,"House 56, Street 19, Gulbahar, Peshawar"
ICT-744,Adnan Orakzai,2000,Hyundai Tucson,2022,"House 56, Street 19, Gulbahar, Peshawar"
ICT-9003,Adnan Orakzai,2700,Toyota Prado TX,2022,"House 56, Street 19, Gulbahar, Peshawar"
AFR-407,H. Siddiqui,800,Suzuki Mehran,2018,H#269 St-31 Gulgasht Multan
LEA-1524,Shahzad Janjua,800,Suzuki Mehran,2021,"270-36 Gulbahar, Peshawar"
LEA-4430,Qasim Tarar,2000,Audi e-tron,2025,"396-38 I-8/4, Islamabad"
AFR-1260,Qasim Tarar,2000,Mercedes C200,2026,"396-38 I-8/4, Islamabad"
RIR-758,J.Awan,2700,Toyota Prado TX,2022,مکان 262 گلی 22 Gulshan-e-Iqbal کراچی
ICT-6585,J.Awan,2000,Hyundai Tucson,2020,مکان 262 گلی 22 Gulshan-e-Iqbal کراچی
KAR-7567,J.Awan,1500,Honda Civic RS,2026,مکان 262 گلی 22 Gulshan-e-Iqbal کراچی
AFR-909,M.Yousafzai,70,Honda CD-70,2017,مکان 258 گلی 9 Johar Town لاہور
ICT-793,Faisal Janjua,800,Suzuki Mehran,2022,"167-21 Satellite Town, Rawalpindi"
RIR-8478,Sana Dar,70,Honda CD-70,2019,"House 218, Street 36, Gulgasht, Multan"
AFR-6391,N.Mirza,2000,Mercedes C200,2022,مکان 77 گلی 1 Shah Rukn-e-Alam Multan
RIR-9968,N.Mirza,1800,Toyota Corolla Altis,2018,مکان 77 گلی 1 Shah Rukn-e-Alam Multan
AFR-2330,Uzma Khan,2700,Toyota Prado TX,2022,"House 320, Street 6, Shah Rukn-e-Alam, Multan"
AFR-8646,Uzma Khan,2000,Hyundai Tucson,2019,"House 320, Street 6, Shah Rukn-e-Alam, Multan"
LEA-2407,Uzma Khan,1800,Toyota Corolla Altis,2025,"House 320, Street 6, Shah Rukn-e-Alam, Multan"
AFR-8179,N.Naqvi,1500,Honda Civic RS,2020,مکان 341 گلی 30 Cantt Multan
KAR-1296,N.Naqvi,1800,Toyota Corolla Altis,2024,مکان 341 گلی 30 Cantt Multan
ICT-7051,R. Saddozai,1200,Honda City,2023,H#52 St-28 DHAPhase6 Karachi
KAR-5661,A.Mughal,2000,Mercedes C200,2017,مکان 360 گلی 16 Gulberg III لاہور
RIR-2122,A.Mughal,3300,Toyota Land Cruiser ZX,2023,مکان 360 گلی 16 Gulberg III لاہور
AFR-4846,Haji Amna Cheema,2000,Mercedes C200,2024,"House No. 296, Gali 32, Gulberg III, Lahore"
LEA-1152,Haji Amna Cheema,2700,Toyota Fortuner,2024,"House No. 296, Gali 32, Gulberg III, Lahore"
AFR-1368,M. Ansari,1800,Toyota Corolla Altis,2020,H#226 St-5 PeoplesColony Faisalabad
LEA-2037,M. Ansari,3300,Toyota Land Cruiser ZX,2023,H#226 St-5 PeoplesColony Faisalabad
KAR-410,Nadeem Tareen,3300,Toyota Land Cruiser ZX,2023,"311-30 Madina Town, Faisalabad"
LEA-125,Nadeem Tareen,1500,Honda Civic RS,2017,"311-30 Madina Town, Faisalabad"
LEA-3616,Noman Orakzai,1500,Honda Civic RS,2018,"361-24 Gulgasht, Multan"
LEA-6050,Noman Orakzai,1500,Honda Civic RS,2018,"361-24 Gulgasht, Multan"
