registry_no,buyer_name,seller_name,property_address,property_value_pkr,transfer_date,area_marla,property_type
REG-761386,W. Zaidi,Zafar Dar,"House 248, Street 16, Wapda Town, Lahore",133302880,2021-04-15,40,Residential Plot
REG-353036,Saqib Shirazi,Ahmed Rizvi,"House 366, Street 13, D Ground, Faisalabad",140546140,2023-09-21,20,Residential House
REG-941107,حسن Khattak,Rashid Shirazi,"House 391, Street 20, Gulgasht, Multan",49400687,2024-12-19,7,Commercial Plaza
REG-156531,Mian Iqra Joiya,Saba Hashmi,"House 160, Street 1, University Town, Peshawar",41872700,2023-10-22,20,Residential House
REG-772232,Uzma Mirza,Ahmed Gill,"House 329, Street 11, DHA Phase 5, Lahore",48703600,2023-04-22,10,Residential Plot
REG-901409,Uzma Mirza,Pervez Niazi,"House 383, Street 22, Wapda Town, Lahore",40519420,2026-02-24,10,Commercial Plaza
REG-344700,Haji Tariq Tarar,Arsalan Kakar,"House 396, Street 11, Gulberg III, Lahore",216717480,2021-12-03,40,Residential Plot
REG-593997,Khadija Sandhu,Noor Virk,"House 189, Street 21, D Ground, Faisalabad",206021200,2025-11-26,80,Residential House
REG-985608,Mian Usman Virk,Naveed Tarar,"House 22, Street 39, Gulbahar, Peshawar",50521583,2023-06-05,7,Residential House
REG-994456,Rehan Ansari,Javeria Gondal,"House 189, Street 29, Gulbahar, Peshawar",48007239,2024-06-15,7,Farmhouse
REG-456798,Rehan Ansari,Obaid Gill,"House 153, Street 32, University Town, Peshawar",55108850,2021-01-05,10,Apartment
REG-332563,Z.Zaidi,Zubair Awan,"House 75, Street 28, Madina Town, Faisalabad",61675929,2024-05-08,7,Commercial Plaza
REG-108367,بلال خان,Bilal Baig,"House 241, Street 34, DHA Phase 5, Lahore",16144044,2023-05-10,3,Commercial Plaza
REG-295216,U. Baig,Shoaib Sandhu,"House 119, Street 6, DHA Phase 6, Karachi",36191701,2023-02-01,7,Residential Plot
REG-232924,Chaudhary Ubaid Bukhari,Adnan Butt,"House 136, Street 3, Cantt, Multan",20092800,2023-02-26,5,Commercial Plaza
REG-671716,Syed Ubaid Bukhari,Bushra Naqvi,"House 128, Street 19, Gulgasht, Multan",270773280,2025-08-08,40,Residential Plot
REG-551277,Umar Janjua,Junaid Hashmi,"House 33, Street 8, Gulgasht, Multan",65760880,2025-02-15,10,Residential Plot
REG-227210,Umar Janjua,Zafar Virk,"House 380, Street 33, Gulgasht, Multan",39153900,2025-04-06,5,Apartment
REG-368511,Haji Irfan Sandhu,Anas Gill,"House 11, Street 4, F-8/3, Islamabad",61468650,2021-08-02,10,Commercial Plaza
REG-186675,R.Mehsud,Mehwish Orakzai,"House 282, Street 15, Hayatabad Phase 3, Peshawar",21408660,2023-04-05,10,Residential Plot
REG-639776,Rashid Shirazi,Rauf Abbasi,"House 153, Street 18, Wapda Town, Lahore",21891183,2024-02-26,3,Residential Plot
REG-638313,Chaudhary Fahad Kazmi,Rauf Mughal,"House 301, Street 39, Madina Town, Faisalabad",104048580,2024-06-24,20,Farmhouse
REG-906527,Mian Fahad Kazmi,Farhan Kazmi,"House 99, Street 18, D Ground, Faisalabad",135420400,2024-08-03,40,Residential House
REG-810890,Hafsa Bangash,Arsalan Mehsud,"House 68, Street 40, Gulbahar, Peshawar",30977225,2024-07-24,5,Residential Plot
REG-795107,Hafsa Bangash,Rehan Qureshi,"House 372, Street 6, Gulbahar, Peshawar",424564240,2023-08-30,80,Apartment
REG-588528,Madiha Khan,Rabia Afridi,"House 85, Street 26, Hayatabad Phase 3, Peshawar",11103270,2022-07-04,5,Residential House
REG-757968,N.Rizvi,Kashif Shirazi,"House 9, Street 7, Shah Rukn-e-Alam, Multan",15003705,2022-05-06,3,Farmhouse
REG-746760,Kamran Kayani,Waqas Saddozai,"House 256, Street 20, DHA Phase 6, Karachi",25154481,2023-02-10,3,Farmhouse
REG-995787,M.Sial,Mubashir Baig,"House 285, Street 6, Peoples Colony, Faisalabad",15014525,2021-05-22,5,Residential House
REG-565385,حسن Kayani,Fatima Yousafzai,"House 211, Street 38, Cantt, Multan",48978244,2023-10-28,7,Apartment
REG-357296,حسن Kayani,Zainab Wazir,"House 363, Street 33, Shah Rukn-e-Alam, Multan",52701190,2023-02-13,10,Residential House
REG-373182,K.Butt,Taimoor Ansari,"House 121, Street 37, DHA Phase 6, Karachi",168764780,2021-03-04,20,Commercial Plaza
REG-453130,Chaudhary Ubaid Virk,Ahmed Wazir,"House 218, Street 27, Gulgasht, Multan",26967745,2021-02-14,7,Commercial Plaza
REG-344360,Chaudhary Ubaid Virk,Noman Mirza,"House 292, Street 18, Shah Rukn-e-Alam, Multan",60595955,2025-07-13,7,Commercial Plaza
REG-548583,Taimoor Dar,Ubaid Lodhi,"House 9, Street 27, Madina Town, Faisalabad",71763880,2025-05-04,10,Farmhouse
REG-459483,T. Khokhar,Tooba Tareen,"House 69, Street 33, Model Town, Lahore",43862007,2022-02-02,7,Apartment
REG-259388,T.Mirza,Adnan Shirazi,"House 146, Street 21, Hayatabad Phase 3, Peshawar",34158420,2021-04-30,5,Apartment
REG-653267,Sufyan Hashmi,Adnan Sheikh,"House 64, Street 19, Wapda Town, Lahore",389864880,2024-04-08,80,Residential House
REG-782401,Sufyan Hashmi,Zubair Rizvi,"House 188, Street 1, DHA Phase 5, Lahore",196921360,2021-04-11,40,Farmhouse
REG-617955,Rauf Zaidi,Ahmed Shirazi,"House 323, Street 34, Cantt, Multan",69975130,2026-02-02,10,Commercial Plaza
REG-410326,Rauf Zaidi,Sadia Orakzai,"House 145, Street 7, Cantt, Multan",700512640,2021-06-16,80,Residential House
REG-420167,R. Niazi,Haris Mehsud,"House 199, Street 29, Chaklala Scheme 3, Rawalpindi",61560440,2022-10-09,20,Residential Plot
REG-236569,R. Niazi,Sufyan Hashmi,"House 378, Street 37, Chaklala Scheme 3, Rawalpindi",140369880,2024-05-01,40,Apartment
REG-633187,K. Naqvi,Kashif Mehsud,"House 28, Street 29, E-11/2, Islamabad",39500320,2022-01-24,10,Commercial Plaza
REG-229799,Haji Zafar Kazmi,Danish Zaidi,"House 364, Street 19, G-13/1, Islamabad",49327334,2022-07-18,7,Apartment
REG-765236,Mian Zafar Kazmi,Zara Niazi,"House 15, Street 8, G-13/1, Islamabad",257111840,2023-09-11,40,Residential House
REG-729083,Rauf Butt,Sajid Kazmi,"House 302, Street 8, Hayatabad Phase 3, Peshawar",16716360,2022-02-01,5,Residential House
REG-455875,Rauf Butt,Faisal Mehsud,"House 311, Street 34, Gulbahar, Peshawar",148482000,2022-11-23,20,Residential Plot
REG-618095,S.Rajput,Shahzad Malik,"House 47, Street 19, D Ground, Faisalabad",148299680,2022-07-13,20,Farmhouse
REG-702654,Haji Wajahat Khattak,Bushra Qureshi,"House 383, Street 31, Gulbahar, Peshawar",40501090,2026-03-09,7,Residential House
REG-943734,Mian Javeria Bukhari,Yousuf Gill,"House 255, Street 24, Gulgasht, Multan",14068839,2021-12-17,3,Farmhouse
REG-182933,E. Rizvi,Farah Gondal,"House 136, Street 30, Madina Town, Faisalabad",163468040,2021-12-24,40,Farmhouse
REG-415254,Atif Janjua,Saqib Gill,"House 164, Street 34, Peoples Colony, Faisalabad",25965385,2023-02-28,5,Farmhouse
REG-993381,Iqra Sial,Muhammad Janjua,"House 45, Street 10, Gulgasht, Multan",51933714,2022-10-15,7,Residential House
REG-840470,Iqra Sial,Owais Janjua,"House 106, Street 9, Cantt, Multan",70774110,2024-03-24,10,Commercial Plaza
REG-637853,Noman Khokhar,Madiha Ansari,"House 112, Street 38, Madina Town, Faisalabad",16252061,2023-06-09,7,Residential House
REG-550136,T. Khattak,Hussain Afridi,"House 52, Street 34, University Town, Peshawar",29690136,2022-05-07,7,Residential House
REG-846401,T. Khattak,Waseem Durrani,"House 357, Street 35, Gulbahar, Peshawar",51869980,2025-05-14,20,Commercial Plaza
REG-425701,Rashid Kayani,Saad Kakar,"House 327, Street 13, D Ground, Faisalabad",14797059,2024-04-29,3,Residential House
REG-438195,Bilal Butt,Babar Gill,"House 247, Street 25, Gulbahar, Peshawar",45269476,2023-03-05,7,Residential House
REG-787999,Malik Noman Butt,Fatima Bukhari,"House 29, Street 2, Shah Rukn-e-Alam, Multan",37765091,2025-02-27,7,Farmhouse
REG-495080,Syed Shoaib Mughal,Waseem Khokhar,"House 95, Street 21, Gulbahar, Peshawar",345326680,2022-07-06,40,Apartment
REG-781321,Mian Shoaib Mughal,Shahzad Kayani,"House 271, Street 18, Hayatabad Phase 3, Peshawar",131029900,2023-04-26,20,Residential Plot
REG-119310,Haji Sajid Hashmi,Rida Afridi,"House 309, Street 18, G-10/2, Islamabad",29849900,2023-09-24,5,Commercial Plaza
REG-253873,Tariq Tarar,Javeria Siddiqui,"House 154, Street 26, Cantt, Multan",39297006,2025-06-13,7,Farmhouse
REG-408049,Tariq Tarar,Nadeem Raja,"House 224, Street 40, Cantt, Multan",62254580,2024-02-21,10,Commercial Plaza
REG-450549,Haji Noman Mehsud,Imran Tarar,"House 366, Street 4, Clifton Block 2, Karachi",34173590,2022-07-28,5,Residential Plot
REG-795285,Sardar Noman Mehsud,Adnan Bukhari,"House 365, Street 25, North Nazimabad, Karachi",51276670,2023-01-21,10,Farmhouse
REG-883260,Laiba Dar,Kamran Bangash,"House 178, Street 39, Gulberg III, Lahore",25889735,2021-12-04,5,Apartment
REG-774601,Ghulam Warraich,Kamran Mehsud,"House 269, Street 24, Gulberg III, Lahore",27097935,2022-11-04,5,Farmhouse
REG-131795,Ghulam Warraich,Noman Bukhari,"House 83, Street 4, Wapda Town, Lahore",88379020,2021-03-22,20,Farmhouse
REG-543483,فاطمہ ملک,Lubna Baig,"House 131, Street 28, D Ground, Faisalabad",28666162,2023-04-02,7,Residential House
REG-976237,Arsalan Shirazi,Luqman Abbasi,"House 77, Street 20, Hayatabad Phase 3, Peshawar",121878940,2021-08-17,20,Farmhouse
REG-859841,Malik Waqas Afridi,Madiha Warraich,"House 137, Street 3, Madina Town, Faisalabad",486687280,2025-03-02,80,Farmhouse
REG-136946,Syed Waqas Afridi,Javeria Yousafzai,"House 335, Street 30, Peoples Colony, Faisalabad",56923608,2026-03-02,7,Commercial Plaza
REG-335508,G.Tareen,Mansoor Shirazi,"House 310, Street 35, DHA Phase 6, Karachi",74269290,2024-10-06,10,Residential House
REG-455960,G.Tareen,Hamza Shirazi,"House 267, Street 34, DHA Phase 6, Karachi",50240740,2024-03-27,20,Commercial Plaza
REG-137801,Sardar Junaid Kazmi,Lubna Awan,"House 161, Street 5, Gulbahar, Peshawar",48100458,2024-08-08,7,Apartment
REG-982765,Haji Khalid Virk,Zubair Naqvi,"House 171, Street 17, Model Town, Lahore",71584560,2026-01-22,20,Residential Plot
REG-891116,Syed Khalid Virk,Bilal Baig,"House 170, Street 40, Johar Town, Lahore",24817562,2021-02-28,7,Farmhouse
REG-596694,S.Kayani,Yasir Naqvi,"House 339, Street 30, Gulshan-e-Iqbal, Karachi",50373939,2022-01-22,7,Residential Plot
REG-350927,Y.Abbasi,Shahzad Warraich,"House 161, Street 1, Shah Rukn-e-Alam, Multan",56246561,2023-05-01,7,Apartment
REG-155919,Owais Kazmi,Saba Gilani,"House 306, Street 26, Chaklala Scheme 3, Rawalpindi",256095360,2023-07-18,80,Residential House
REG-350662,Owais Kazmi,Yousuf Abbasi,"House 109, Street 34, Bahria Phase 4, Rawalpindi",28460065,2023-09-23,5,Residential Plot
REG-128699,Sana Sandhu,Atif Kayani,"House 381, Street 37, G-13/1, Islamabad",59297896,2021-10-29,7,Apartment
REG-406393,Haji Waseem Warraich,Noman Warraich,"House 345, Street 13, Bahria Phase 4, Rawalpindi",498529440,2023-09-01,80,Residential House
REG-554886,Adnan Sial,Bilal Yousafzai,"House 289, Street 8, Peoples Colony, Faisalabad",16770755,2021-01-17,5,Residential Plot
REG-595208,Rana Kamran Gondal,Shoaib Rizvi,"House 107, Street 21, North Nazimabad, Karachi",46859760,2022-02-04,10,Farmhouse
REG-804686,Sardar Kamran Gondal,Nimra Kazmi,"House 370, Street 16, Gulshan-e-Iqbal, Karachi",617999600,2023-10-08,80,Apartment
REG-204086,N. Gilani,Rauf Saddozai,"House 50, Street 21, Peoples Colony, Faisalabad",460856000,2022-05-20,80,Residential Plot
REG-920721,N. Gilani,Mansoor Sandhu,"House 354, Street 16, Peoples Colony, Faisalabad",171214900,2021-08-02,20,Apartment
REG-171151,B. Bukhari,Shahzad Rajput,"House 109, Street 39, Model Town, Lahore",51978240,2022-06-24,10,Commercial Plaza
REG-341889,B. Bukhari,Mehwish Gilani,"House 156, Street 28, Gulberg III, Lahore",104076140,2025-05-29,20,Farmhouse
REG-221298,N.Rajput,Naveed Dar,"House 148, Street 10, Gulgasht, Multan",17043075,2022-12-17,5,Residential Plot
REG-303493,Zubair Sandhu,Khalid Zaidi,"House 27, Street 11, Shah Rukn-e-Alam, Multan",16182678,2021-03-26,3,Commercial Plaza
REG-400842,E. Wazir,Mustafa Gondal,"House 188, Street 4, Chaklala Scheme 3, Rawalpindi",15377195,2022-03-02,5,Apartment
REG-911948,E. Wazir,Ibrahim Dar,"House 332, Street 34, Chaklala Scheme 3, Rawalpindi",270373040,2026-02-26,80,Apartment
REG-285358,Rana Arsalan Niazi,Rashid Butt,"House 56, Street 11, Cantt, Multan",16377630,2026-02-22,3,Residential House
REG-586768,R. Tarar,Waseem Awan,"House 179, Street 29, E-11/2, Islamabad",34843660,2021-03-01,10,Apartment
REG-491950,Mansoor Baig,Sadia Khattak,"House 231, Street 39, Wapda Town, Lahore",586778880,2023-01-26,80,Residential Plot
REG-864092,Syed Kashif Tarar,Junaid Abbasi,"House 188, Street 40, F-8/3, Islamabad",221021600,2021-12-19,80,Commercial Plaza
REG-113885,Sardar Kashif Tarar,Sajid Tarar,"House 185, Street 28, G-10/2, Islamabad",433281120,2021-05-06,80,Commercial Plaza
REG-186806,T.Kayani,Ghulam Warraich,"House 264, Street 29, Gulberg III, Lahore",37389296,2021-06-13,7,Residential House
REG-715421,T.Kayani,Javeria Kayani,"House 350, Street 5, DHA Phase 5, Lahore",465366160,2024-06-06,80,Commercial Plaza
REG-388392,Mian Noman Durrani,Hafsa Khokhar,"House 310, Street 24, Chaklala Scheme 3, Rawalpindi",51065903,2021-11-14,7,Residential Plot
REG-941590,M.Janjua,Mahnoor Rajput,"House 229, Street 21, B-17, Islamabad",42627420,2023-04-12,5,Commercial Plaza
REG-226911,Zafar Tareen,Ehsan Rajput,"House 230, Street 14, Cantt, Multan",18148494,2022-02-09,3,Commercial Plaza
REG-885540,Zara Cheema,Bushra Qureshi,"House 359, Street 36, DHA Phase 6, Karachi",140978760,2023-03-07,20,Residential House
REG-717050,A. Ansari,Obaid Tarar,"House 220, Street 12, Shah Rukn-e-Alam, Multan",14326185,2022-01-31,3,Farmhouse
REG-500607,B.Bhatti,Farah Saddozai,"House 345, Street 18, G-10/2, Islamabad",24759868,2024-03-16,7,Residential House
REG-900917,O.Tarar,Ali Shirazi,"House 159, Street 25, E-11/2, Islamabad",9214620,2021-05-06,3,Residential House
REG-756784,T. Cheema,Farah Ansari,"House 191, Street 33, Westridge, Rawalpindi",19494140,2024-09-13,10,Residential Plot
REG-101955,H. Kazmi,Tariq Abbasi,"House 288, Street 39, Chaklala Scheme 3, Rawalpindi",63675590,2021-05-04,10,Commercial Plaza
REG-601801,Rauf Dar,Anas Kayani,"House 208, Street 27, Madina Town, Faisalabad",32968560,2021-04-17,10,Commercial Plaza
REG-701254,Rauf Dar,Bilal Virk,"House 86, Street 3, D Ground, Faisalabad",27828330,2021-09-07,10,Commercial Plaza
REG-263332,Obaid Bukhari,Shoaib Bukhari,"House 54, Street 36, Model Town, Lahore",29387100,2023-07-19,10,Residential House
REG-470942,Obaid Bukhari,Saad Kazmi,"House 48, Street 8, Gulberg III, Lahore",79732890,2022-06-06,10,Farmhouse
REG-423836,M.Khattak,Umar Ansari,"House 129, Street 40, Bahria Phase 4, Rawalpindi",31856937,2022-06-08,7,Farmhouse
REG-940762,M.Khattak,Ehsan Wazir,"House 305, Street 30, Westridge, Rawalpindi",636653600,2023-08-20,80,Residential House
REG-659341,N.Khattak,Mubashir Sheikh,"House 371, Street 13, Gulbahar, Peshawar",21241659,2024-12-06,3,Residential Plot
REG-359575,Sardar Tooba Abbasi,Naveed Orakzai,"House 360, Street 23, Westridge, Rawalpindi",109739240,2021-09-04,40,Residential House
REG-100889,محمد Sial,Umar Zaidi,"House 246, Street 10, DHA Phase 6, Karachi",48036060,2023-11-28,10,Commercial Plaza
REG-193098,Rashid Mirza,Ayesha Malik,"House 141, Street 31, Wapda Town, Lahore",25130390,2023-11-19,10,Commercial Plaza
REG-492168,Haji Uzma Gondal,Anas Zaidi,"House 37, Street 2, Clifton Block 2, Karachi",39898180,2024-02-26,7,Residential Plot
REG-659809,Sardar Uzma Gondal,Rehan Gilani,"House 211, Street 17, Gulshan-e-Iqbal, Karachi",163677900,2023-09-11,20,Residential House
REG-298454,Sajid Durrani,Talha Joiya,"House 152, Street 28, Johar Town, Lahore",29391680,2024-03-15,10,Farmhouse
REG-101906,Rabia قریشی,Farhan Gondal,"House 330, Street 28, Chaklala Scheme 3, Rawalpindi",75371940,2021-03-03,20,Residential Plot
REG-449345,Adnan ملک,Noor Kazmi,"House 242, Street 35, Gulberg III, Lahore",19429785,2021-10-09,3,Commercial Plaza
REG-240754,N. Tareen,Umar Raja,"House 4, Street 22, Clifton Block 2, Karachi",20143256,2024-02-11,7,Commercial Plaza
REG-362612,Chaudhary Ahmed Bukhari,Bilal Zaidi,"House 10, Street 35, North Nazimabad, Karachi",21862155,2024-07-19,5,Apartment
REG-264375,H. Raja,Faisal Siddiqui,"House 309, Street 36, Hayatabad Phase 3, Peshawar",18170440,2024-07-04,5,Farmhouse
REG-502192,B. Tareen,Lubna Mirza,"House 79, Street 32, Cantt, Multan",41487173,2022-05-23,7,Commercial Plaza
REG-360028,Syed Amna Lodhi,Saba Zaidi,"House 325, Street 7, I-8/4, Islamabad",41023297,2025-12-14,7,Farmhouse
REG-409487,Rana Amna Lodhi,Saad Janjua,"House 5, Street 11, G-10/2, Islamabad",412783520,2024-07-05,80,Apartment
REG-403166,D.Saddozai,Lubna Bhatti,"House 33, Street 11, Shah Rukn-e-Alam, Multan",47607952,2026-02-04,7,Residential Plot
REG-937941,D.Saddozai,Tariq Saddozai,"House 380, Street 26, Gulgasht, Multan",40249020,2021-09-01,5,Apartment
REG-628658,D. Awan,Zainab Ansari,"House 28, Street 5, Westridge, Rawalpindi",20267110,2025-04-05,5,Commercial Plaza
REG-433066,Hina Rizvi,Hussain Warraich,"House 58, Street 7, E-11/2, Islamabad",38317120,2025-07-15,20,Farmhouse
REG-999021,N. Gondal,Madiha Afridi,"House 101, Street 20, Gulgasht, Multan",218318080,2022-11-12,80,Apartment
REG-822473,N. Gondal,Owais Afridi,"House 273, Street 13, Gulgasht, Multan",17441010,2021-03-15,5,Apartment
REG-494247,Chaudhary Farah Orakzai,Danish Malik,"House 83, Street 6, F-8/3, Islamabad",101056760,2025-03-07,40,Apartment
REG-848535,عائشہ Khattak,Atif Siddiqui,"House 140, Street 17, Gulberg III, Lahore",477114960,2022-06-20,80,Commercial Plaza
REG-923694,عائشہ Khattak,Mustafa Warraich,"House 32, Street 27, Model Town, Lahore",282288800,2021-05-05,80,Apartment
REG-527208,Rida Butt,Asad Raja,"House 374, Street 21, Peoples Colony, Faisalabad",34323500,2021-08-24,5,Apartment
REG-232967,H.Warraich,Yasir Khan,"House 289, Street 1, Model Town, Lahore",64560950,2024-06-09,10,Apartment
REG-846548,H.Warraich,Kinza Niazi,"House 224, Street 11, Johar Town, Lahore",49526640,2024-11-28,20,Commercial Plaza
REG-524976,Y. Abbasi,Hassan Warraich,"House 19, Street 12, Shah Rukn-e-Alam, Multan",36214234,2026-01-21,7,Commercial Plaza
REG-848960,Chaudhary Jawad Tareen,Tariq Gilani,"House 245, Street 18, Wapda Town, Lahore",75559720,2021-01-02,10,Farmhouse
REG-710713,Haji Jawad Tareen,Sana Baig,"House 258, Street 23, Model Town, Lahore",291332480,2023-08-06,80,Residential House
REG-937407,Rida ملک,Kashif Mirza,"House 378, Street 20, Cantt, Multan",22559665,2025-08-11,5,Residential House
REG-399953,A. Malik,Rida Raja,"House 372, Street 1, Hayatabad Phase 3, Peshawar",61707653,2021-06-21,7,Farmhouse
REG-260773,Babar Durrani,Shahzad Durrani,"House 220, Street 26, Chaklala Scheme 3, Rawalpindi",35395415,2024-09-27,5,Residential Plot
REG-673217,Babar Durrani,Junaid Warraich,"House 53, Street 16, Satellite Town, Rawalpindi",290268400,2022-08-08,40,Residential Plot
REG-472172,M.Durrani,Bilal Abbasi,"House 44, Street 19, Chaklala Scheme 3, Rawalpindi",13712530,2022-01-17,5,Apartment
REG-986866,M.Durrani,Mubashir Raja,"House 382, Street 11, Westridge, Rawalpindi",63418410,2022-04-07,10,Farmhouse
REG-364778,زینب شیخ,Ali Gill,"House 3, Street 10, Madina Town, Faisalabad",16885080,2022-02-14,3,Residential Plot
REG-429818,H.Bukhari,Amna Sandhu,"House 353, Street 25, F-8/3, Islamabad",54027729,2023-03-09,7,Commercial Plaza
REG-260925,Syed Nimra Mehsud,Tooba Rizvi,"House 236, Street 2, Satellite Town, Rawalpindi",38060590,2024-09-19,5,Apartment
REG-595728,Malik Ehsan Malik,Ehsan Mughal,"House 30, Street 20, Peoples Colony, Faisalabad",406626320,2021-12-10,80,Farmhouse
REG-729045,Syed Shahzad Naqvi,Bilal Mughal,"House 317, Street 4, Madina Town, Faisalabad",44866785,2025-07-20,5,Apartment
REG-659582,Chaudhary Shahzad Naqvi,Zainab Awan,"House 329, Street 30, D Ground, Faisalabad",95397500,2026-02-11,20,Residential Plot
REG-991059,Syed Luqman Abbasi,Qasim Butt,"House 19, Street 12, Gulgasht, Multan",44343170,2023-08-25,5,Farmhouse
REG-262301,Haji Ghulam Sheikh,Qasim Abbasi,"House 266, Street 33, Gulbahar, Peshawar",104690880,2021-01-10,40,Residential Plot
REG-925837,Chaudhary Ghulam Sheikh,Salman Gill,"House 138, Street 2, University Town, Peshawar",177080440,2023-09-14,20,Farmhouse
REG-482005,Hina Joiya,Usman Bangash,"House 353, Street 21, Hayatabad Phase 3, Peshawar",78224740,2021-11-17,20,Farmhouse
REG-536663,Syed Danish Khattak,Nimra Butt,"House 90, Street 5, DHA Phase 5, Lahore",40158890,2021-07-31,5,Farmhouse
REG-725942,Malik Danish Khattak,Arsalan Durrani,"House 149, Street 23, DHA Phase 5, Lahore",504744480,2021-05-03,80,Residential House
REG-159230,عائشہ Sandhu,Ali Mirza,"House 374, Street 19, Madina Town, Faisalabad",46263973,2021-03-28,7,Residential House
REG-341392,عائشہ Sandhu,Wajahat Sial,"House 284, Street 14, D Ground, Faisalabad",110111640,2024-03-01,40,Apartment
REG-144629,Mian Khadija Mughal,Sajid Abbasi,"House 245, Street 34, Gulshan-e-Iqbal, Karachi",58838000,2024-03-16,10,Farmhouse
REG-747235,Sardar Khadija Mughal,Nadeem Abbasi,"House 169, Street 12, Gulshan-e-Iqbal, Karachi",634438560,2025-04-02,80,Farmhouse
REG-873831,Z.Kakar,Obaid Joiya,"House 243, Street 35, Bahria Phase 4, Rawalpindi",55706850,2025-09-19,10,Farmhouse
REG-102069,Chaudhary Sana Shirazi,Hamza Siddiqui,"House 129, Street 19, Chaklala Scheme 3, Rawalpindi",426220320,2022-05-01,80,Commercial Plaza
REG-878459,Haji Sana Shirazi,Owais Zaidi,"House 272, Street 40, Satellite Town, Rawalpindi",11028865,2025-12-06,5,Apartment
REG-261084,Irfan Khan,Babar Zaidi,"House 234, Street 32, DHA Phase 5, Lahore",12788622,2022-12-09,3,Residential Plot
REG-925373,Farhan Tarar,Fahad Mehsud,"House 283, Street 4, Shah Rukn-e-Alam, Multan",457117680,2021-09-29,80,Commercial Plaza
REG-994272,Farhan Tarar,Hamza Virk,"House 23, Street 32, Cantt, Multan",29027621,2023-05-14,7,Farmhouse
REG-596956,Rana Umar Naqvi,Iqra Bukhari,"House 178, Street 16, Wapda Town, Lahore",137039200,2022-11-17,20,Residential House
REG-236516,Mehwish Cheema,Noor Hashmi,"House 360, Street 16, University Town, Peshawar",27026055,2021-10-04,5,Residential House
REG-601641,Saba Shirazi,Sajid Chaudhry,"House 136, Street 10, G-13/1, Islamabad",145363080,2023-12-15,20,Commercial Plaza
REG-133605,Saba Shirazi,Sadia Zaidi,"House 327, Street 3, E-11/2, Islamabad",687523520,2025-09-15,80,Farmhouse
REG-191774,Sufyan Khattak,Nimra Cheema,"House 8, Street 15, Clifton Block 2, Karachi",8989242,2024-06-12,3,Commercial Plaza
REG-885990,S.Shirazi,Owais Tareen,"House 81, Street 23, DHA Phase 5, Lahore",37977290,2022-09-08,5,Residential House
REG-720539,F. Malik,Javeria Naqvi,"House 209, Street 33, Madina Town, Faisalabad",246581480,2024-07-02,40,Residential Plot
REG-761849,F. Malik,Nadia Mirza,"House 199, Street 26, D Ground, Faisalabad",91152840,2024-10-15,20,Residential Plot
REG-666275,A.Khokhar,Tooba Lodhi,"House 18, Street 21, D Ground, Faisalabad",291442440,2025-03-30,40,Apartment
REG-746061,A.Khokhar,Mahnoor Qureshi,"House 165, Street 25, Peoples Colony, Faisalabad",604136960,2024-08-29,80,Farmhouse
REG-627259,F.Gondal,Fatima Malik,"House 329, Street 9, University Town, Peshawar",85090310,2021-10-27,10,Residential House
REG-867893,F.Gondal,Tooba Awan,"House 52, Street 3, Hayatabad Phase 3, Peshawar",705041440,2024-11-08,80,Farmhouse
REG-194087,Khalid Siddiqui,Lubna Awan,"House 222, Street 40, Satellite Town, Rawalpindi",38527170,2025-05-21,10,Residential House
REG-385366,Khalid Siddiqui,Nasir Lodhi,"House 49, Street 12, Chaklala Scheme 3, Rawalpindi",53585420,2023-01-28,20,Residential House
REG-579350,K.Bhatti,Nadia Abbasi,"House 226, Street 34, I-8/4, Islamabad",37592835,2021-02-27,7,Residential Plot
REG-199005,F. Kazmi,Faisal Abbasi,"House 334, Street 40, Chaklala Scheme 3, Rawalpindi",47244300,2024-02-27,10,Farmhouse
REG-807683,A.Afridi,Hina Gilani,"House 336, Street 18, Chaklala Scheme 3, Rawalpindi",15648609,2023-09-10,3,Commercial Plaza
REG-974151,S.Gondal,Farah Mirza,"House 355, Street 26, University Town, Peshawar",714172000,2024-05-20,80,Apartment
REG-743745,S.Gondal,Sana Wazir,"House 370, Street 20, Gulbahar, Peshawar",362476800,2023-11-17,80,Residential Plot
REG-957559,Obaid Malik,Hamza Hashmi,"House 246, Street 5, Gulberg III, Lahore",80077620,2021-12-26,20,Apartment
REG-886539,Z. Orakzai,Muhammad Malik,"House 175, Street 36, G-10/2, Islamabad",8359545,2024-09-14,3,Farmhouse
REG-339075,Khalid Rizvi,Noman Lodhi,"House 265, Street 16, Chaklala Scheme 3, Rawalpindi",89424680,2023-08-31,20,Residential Plot
REG-985740,Khalid Rizvi,Zubair Afridi,"House 270, Street 3, Chaklala Scheme 3, Rawalpindi",215052160,2021-05-17,80,Apartment
REG-364163,Syed Rida Chaudhry,Zara Awan,"House 145, Street 24, Peoples Colony, Faisalabad",52888948,2024-04-14,7,Residential Plot
REG-375144,Shahzad بٹ,Salman Durrani,"House 305, Street 14, Hayatabad Phase 3, Peshawar",321187800,2022-07-25,40,Apartment
REG-290782,Ayesha Mirza,Mustafa Gondal,"House 16, Street 12, Shah Rukn-e-Alam, Multan",50525874,2025-04-28,7,Residential Plot
REG-773423,Syed Irfan Gill,Fahad Bhatti,"House 128, Street 4, Clifton Block 2, Karachi",13159713,2022-11-20,3,Farmhouse
