meter_ref_no,consumer_name,installation_address,avg_monthly_bill_pkr,connection_type
MTR-22160890,Malik Ali Hashmi,"House No. 156, Gali 36, DHA Phase 6, Karachi",315751,Domestic
MTR-39070976,Rauf Mughal,"House 181, Street 7, Clifton Block 2, Karachi",56607,Domestic
MTR-93054826,Sana Hashmi,"214-32 Hayatabad Phase 3, Peshawar",279306,Commercial
MTR-84065119,M. Siddiqui,H#272 St-19 PeoplesColony Faisalabad,360220,Commercial
MTR-63157938,K.Malik,مکان 214 گلی 16 Gulshan-e-Iqbal کراچی,167086,Domestic
MTR-22863671,Mustafa Gilani,"161-33 Clifton Block 2, Karachi",22222,Domestic
MTR-31235759,Rana Wajahat Shirazi,"House No. 35, Gali 29, Shah Rukn-e-Alam, Multan",53844,Domestic
MTR-32553543,Yousuf Janjua,"House 168, Street 23, Satellite Town, Rawalpindi",12604,Domestic
MTR-61891537,Hina Kazmi,"House 193, Street 28, Johar Town, Lahore",50463,Commercial
MTR-19891177,Malik Hassan Khattak,"House No. 41, Gali 24, Shah Rukn-e-Alam, Multan",29643,Commercial
MTR-52168820,I.Joiya,مکان 56 گلی 18 University Town Peshawar,340939,Domestic
MTR-22470237,Malik Mahnoor Awan,"House No. 64, Gali 4, DHA Phase 5, Lahore",21343,Commercial
MTR-34127810,Syed Sadia Malik,"House No. 331, Gali 21, Shah Rukn-e-Alam, Multan",11891,Domestic
MTR-84618453,U.Mirza,مکان 388 گلی 37 Wapda Town لاہور,263352,Domestic
MTR-59058779,K. Chaudhry,H#53 St-34 BahriaPhase4 Rawalpindi,8533,Domestic
MTR-88470770,T. Tarar,H#253 St-26 DHAPhase5 Lahore,176239,Domestic
MTR-44594420,Sadia Raja,"House 230, Street 11, Hayatabad Phase 3, Peshawar",24739,Commercial
MTR-10271822,بلال Khattak,"116-31 Gulbahar, Peshawar",15632,Domestic
MTR-75688806,عائشہ Bhatti,"388-26 Model Town, Lahore",45779,Commercial
MTR-93470566,Sadia چوہدری,"302-3 F-8/3, Islamabad",20916,Domestic
MTR-41491587,Khadija Sandhu,"204-14 Peoples Colony, Faisalabad",183743,Commercial
MTR-66274951,Mian Nadia Sandhu,"House No. 82, Gali 13, Madina Town, Faisalabad",43683,Domestic
MTR-20831324,M.Siddiqui,مکان 232 گلی 2 Shah Rukn-e-Alam Multan,17582,Domestic
MTR-39822095,عثمان Virk,"381-14 Hayatabad Phase 3, Peshawar",183637,Commercial
MTR-60121281,I.Khokhar,مکان 321 گلی 15 B-17 اسلام آباد,16503,Domestic
MTR-85260236,Sardar Rehan Ansari,"House No. 106, Gali 32, University Town, Peshawar",189870,Commercial
MTR-30805246,Syed Zafar Zaidi,"House No. 342, Gali 16, Madina Town, Faisalabad",9386,Domestic
MTR-48648395,B.Khan,مکان 156 گلی 29 DHA Phase 5 لاہور,23366,Commercial
MTR-24549741,U.Baig,مکان 39 گلی 18 Gulshan-e-Iqbal کراچی,6440,Commercial
MTR-25153624,U.Bukhari,مکان 140 گلی 18 Gulgasht Multan,249733,Domestic
MTR-17011931,Kamran Warraich,"16-3 Shah Rukn-e-Alam, Multan",23576,Commercial
MTR-47792987,Chaudhary Amna Butt,"House No. 395, Gali 18, Cantt, Multan",54282,Commercial
MTR-21357094,Irfan Sandhu,"189-30 G-13/1, Islamabad",178015,Commercial
MTR-83790896,A. Saddozai,H#209 St-12 ShahRukn-e-Alam Multan,4558,Domestic
MTR-48190048,R. Mehsud,H#346 St-35 UniversityTown Peshawar,263778,Commercial
MTR-94555999,B. Gill,H#231 St-35 ShahRukn-e-Alam Multan,8448,Commercial
MTR-43509098,R. Shirazi,H#324 St-11 WapdaTown Lahore,58817,Domestic
MTR-13167292,Fahad Kazmi,"267-7 Peoples Colony, Faisalabad",276426,Commercial
MTR-63521574,H.Bangash,مکان 251 گلی 8 University Town Peshawar,211957,Domestic
MTR-66089510,Amna Gill,"House 353, Street 7, Shah Rukn-e-Alam, Multan",14171,Domestic
MTR-46996132,Syed Madiha Khan,"House No. 56, Gali 32, Gulbahar, Peshawar",15083,Domestic
MTR-53937979,N. Rizvi,H#98 St-2 Cantt Multan,37934,Commercial
MTR-92144623,Kamran Kayani,"217-23 Clifton Block 2, Karachi",35284,Commercial
MTR-33371457,Mubashir Sial,"House 245, Street 40, D Ground, Faisalabad",167500,Commercial
MTR-88113629,H. Kayani,H#197 St-35 ShahRukn-e-Alam Multan,358152,Domestic
MTR-46003095,K. Butt,H#244 St-17 CliftonBlock2 Karachi,387628,Domestic
MTR-26202488,U. Virk,H#124 St-39 ShahRukn-e-Alam Multan,249031,Commercial
MTR-89515163,T. Dar,H#49 St-1 MadinaTown Faisalabad,236299,Domestic
MTR-62664472,T.Khokhar,مکان 199 گلی 35 Wapda Town لاہور,284353,Domestic
MTR-96624167,Taimoor Mirza,"House 21, Street 19, Hayatabad Phase 3, Peshawar",161393,Domestic
MTR-62584546,H.Rajput,مکان 3 گلی 25 DHA Phase 6 کراچی,55960,Commercial
MTR-87382746,Hafsa Bukhari,"118-29 University Town, Peshawar",30685,Commercial
MTR-17068216,S.Hashmi,مکان 11 گلی 34 Model Town لاہور,362686,Domestic
MTR-41537737,Syed Rauf Zaidi,"House No. 35, Gali 5, Shah Rukn-e-Alam, Multan",124856,Domestic
MTR-88872621,Naveed Siddiqui,"45-37 F-8/3, Islamabad",6703,Domestic
MTR-56816713,Sardar Nadia Kayani,"House No. 337, Gali 12, Clifton Block 2, Karachi",28373,Domestic
MTR-52831203,R.Niazi,مکان 6 گلی 24 Westridge راولپنڈی,379389,Domestic
MTR-96478274,Khadija Naqvi,"House 71, Street 21, I-8/4, Islamabad",335471,Domestic
MTR-25456243,Rehan Qureshi,"House 284, Street 35, Westridge, Rawalpindi",24289,Domestic
MTR-97323757,Z. Kazmi,H#85 St-16 G-13/1 Islamabad,216195,Domestic
MTR-18670524,R.Butt,مکان 400 گلی 26 University Town Peshawar,373631,Domestic
MTR-50309147,S. Rajput,H#209 St-11 DGround Faisalabad,248355,Domestic
MTR-47456936,Rauf Shirazi,"House 34, Street 36, E-11/2, Islamabad",42986,Commercial
MTR-19957984,W.Khattak,مکان 156 گلی 35 University Town Peshawar,140435,Commercial
MTR-79360690,Javeria Bukhari,"350-39 Gulgasht, Multan",46268,Commercial
MTR-64810146,Ehsan Rizvi,"House 324, Street 5, D Ground, Faisalabad",444849,Domestic
MTR-84513202,A.Janjua,مکان 179 گلی 20 Peoples Colony Faisalabad,196099,Commercial
MTR-63971677,Iqra Sial,"House 97, Street 40, Gulgasht, Multan",252803,Domestic
MTR-67184402,N.Khokhar,مکان 89 گلی 8 D Ground Faisalabad,14805,Commercial
MTR-94825241,Talha Khattak,"192-16 University Town, Peshawar",327407,Domestic
MTR-26203573,R.Kayani,مکان 130 گلی 8 Peoples Colony Faisalabad,30088,Commercial
MTR-90918991,A.Khokhar,مکان 142 گلی 33 D Ground Faisalabad,18351,Commercial
MTR-71534307,Malik Saba Hashmi,"House No. 244, Gali 28, Peoples Colony, Faisalabad",36323,Domestic
MTR-91378679,Malik Bilal Butt,"House No. 143, Gali 7, Hayatabad Phase 3, Peshawar",14510,Domestic
MTR-35211204,N. Butt,H#31 St-1 Gulgasht Multan,172309,Domestic
MTR-10502513,Shoaib Yousafzai,"385-18 D Ground, Faisalabad",42678,Domestic
MTR-62060725,Shoaib Mughal,"105-35 University Town, Peshawar",337790,Commercial
MTR-18151109,Sajid Hashmi,"House 127, Street 27, G-10/2, Islamabad",46287,Domestic
MTR-11616907,S.Lodhi,مکان 123 گلی 20 G-10/2 اسلام آباد,50752,Commercial
MTR-32872776,T. Tarar,H#227 St-10 ShahRukn-e-Alam Multan,238025,Domestic
MTR-58345173,N.Mehsud,مکان 269 گلی 22 North Nazimabad کراچی,294357,Domestic
MTR-82415141,L. Dar,H#361 St-5 JoharTown Lahore,53598,Domestic
MTR-92702084,U.Orakzai,مکان 366 گلی 2 E-11/2 اسلام آباد,51126,Commercial
MTR-48101420,R. Durrani,H#46 St-28 NorthNazimabad Karachi,28533,Domestic
MTR-43877522,Zafar Mughal,"House 300, Street 34, Bahria Phase 4, Rawalpindi",17464,Domestic
MTR-38328332,Bilal Tareen,"House 363, Street 11, Satellite Town, Rawalpindi",57903,Commercial
MTR-99118191,Taimoor Abbasi,"House 224, Street 18, Johar Town, Lahore",51993,Domestic
MTR-31206272,Danish Raja,"House 294, Street 12, Peoples Colony, Faisalabad",13860,Domestic
MTR-13829392,Ali Baig,"House 40, Street 5, D Ground, Faisalabad",19742,Domestic
MTR-90453868,S.Tareen,مکان 79 گلی 35 Johar Town لاہور,8798,Domestic
MTR-49677204,F.Malik,مکان 30 گلی 26 D Ground Faisalabad,44162,Domestic
MTR-81135114,Arsalan Shirazi,"House 294, Street 18, University Town, Peshawar",183115,Domestic
MTR-83776088,W.Afridi,مکان 35 گلی 25 Peoples Colony Faisalabad,328735,Domestic
MTR-20735539,G. Tareen,H#269 St-30 NorthNazimabad Karachi,334544,Domestic
MTR-56331285,Junaid Kazmi,"65-3 University Town, Peshawar",39357,Domestic
MTR-89167493,K. Virk,H#13 St-21 GulbergIII Lahore,347949,Commercial
MTR-39783273,Rashid Joiya,"389-9 Gulbahar, Peshawar",36271,Domestic
MTR-17427542,S. Kayani,H#239 St-30 NorthNazimabad Karachi,260000,Domestic
MTR-72895019,Haji Yasir Abbasi,"House No. 152, Gali 24, Cantt, Multan",12507,Domestic
MTR-30579520,Faisal Shirazi,"House 263, Street 36, Gulberg III, Lahore",48316,Domestic
MTR-36242317,O.Kazmi,مکان 52 گلی 10 Satellite Town راولپنڈی,126876,Commercial
MTR-46338962,S. Sandhu,H#207 St-22 E-11/2 Islamabad,55268,Domestic
MTR-21685322,بلال Naqvi,"225-32 Peoples Colony, Faisalabad",4109,Domestic
MTR-64268053,Waseem Warraich,"House 23, Street 20, Satellite Town, Rawalpindi",327867,Domestic
MTR-57631002,A.Sial,مکان 131 گلی 14 D Ground Faisalabad,35755,Commercial
MTR-33936784,K.Gondal,مکان 345 گلی 32 DHA Phase 6 کراچی,236079,Domestic
MTR-32242360,Nadeem Gilani,"House 380, Street 22, D Ground, Faisalabad",408498,Commercial
MTR-29660496,I. Kakar,H#12 St-28 BahriaPhase4 Rawalpindi,33065,Commercial
MTR-47871148,Haji Bilal Bukhari,"House No. 55, Gali 10, Gulberg III, Lahore",149740,Domestic
MTR-35012377,Nimra Rajput,"397-21 Cantt, Multan",27618,Commercial
MTR-41630107,Arsalan Mirza,"173-11 Bahria Phase 4, Rawalpindi",51143,Commercial
MTR-86395488,A. Abbasi,H#253 St-6 MadinaTown Faisalabad,43084,Domestic
MTR-96207979,Zubair Sandhu,"House 359, Street 23, Gulgasht, Multan",8196,Domestic
MTR-77591704,Chaudhary Zeeshan Butt,"House No. 21, Gali 40, Peoples Colony, Faisalabad",10097,Commercial
MTR-97599121,A. Lodhi,H#316 St-34 MadinaTown Faisalabad,53117,Domestic
MTR-37330306,Waqas Khattak,"264-7 Gulbahar, Peshawar",52601,Domestic
MTR-11425019,E.Wazir,مکان 232 گلی 23 Westridge راولپنڈی,417224,Domestic
MTR-11061677,A.Niazi,مکان 108 گلی 16 Shah Rukn-e-Alam Multan,54674,Commercial
MTR-20296943,Rashid قریشی,"77-5 DHA Phase 6, Karachi",32008,Commercial
MTR-62761409,Malik Rauf Tarar,"House No. 343, Gali 36, B-17, Islamabad",243223,Domestic
MTR-38414013,M. Baig,H#26 St-3 DHAPhase5 Lahore,308466,Domestic
MTR-35379754,Kashif Tarar,"172-10 E-11/2, Islamabad",322936,Domestic
MTR-75958261,N.Ansari,مکان 395 گلی 1 Clifton Block 2 کراچی,58571,Commercial
MTR-47306919,Malik Ayesha Baig,"House No. 171, Gali 33, Bahria Phase 4, Rawalpindi",7036,Commercial
MTR-85148656,M.Baig,مکان 233 گلی 38 Clifton Block 2 کراچی,43363,Commercial
MTR-68997249,O.Bukhari,مکان 243 گلی 27 Cantt Multan,5427,Domestic
MTR-61901393,Sardar Shoaib Joiya,"House No. 2, Gali 28, Westridge, Rawalpindi",13509,Domestic
MTR-42720083,Pervez ملک,"393-20 D Ground, Faisalabad",52133,Domestic
MTR-25682992,Z.Malik,مکان 384 گلی 17 F-8/3 اسلام آباد,44571,Commercial
MTR-29505450,M. Janjua,H#92 St-8 I-8/4 Islamabad,12532,Domestic
MTR-10669811,Wajahat Kazmi,"House 343, Street 40, E-11/2, Islamabad",43245,Commercial
MTR-19268614,U.Rizvi,مکان 318 گلی 6 DHA Phase 5 لاہور,15789,Domestic
MTR-56729642,Z.Tareen,مکان 16 گلی 22 Shah Rukn-e-Alam Multan,10387,Commercial
MTR-73664781,R.Mughal,مکان 397 گلی 38 Westridge راولپنڈی,4153,Commercial
MTR-66839176,A. Khattak,H#22 St-3 JoharTown Lahore,33925,Commercial
MTR-46997111,Syed Zara Cheema,"House No. 162, Gali 30, Clifton Block 2, Karachi",246669,Domestic
MTR-36907772,Rana Mahnoor Awan,"House No. 284, Gali 36, North Nazimabad, Karachi",19102,Commercial
MTR-51410073,Maryam Sial,"55-4 DHA Phase 5, Lahore",5568,Commercial
MTR-11065190,E.Tarar,مکان 187 گلی 5 G-13/1 اسلام آباد,47189,Commercial
MTR-99946703,Atif Ansari,"71-34 Cantt, Multan",17759,Domestic
MTR-73363330,Babar Bhatti,"House 296, Street 14, F-8/3, Islamabad",24369,Commercial
MTR-38779672,M. Zaidi,H#280 St-20 DGround Faisalabad,11826,Commercial
MTR-37402502,Owais Tarar,"171-18 B-17, Islamabad",13864,Domestic
MTR-60663201,محمد قریشی,"241-24 Clifton Block 2, Karachi",56052,Domestic
MTR-90136886,T.Cheema,مکان 333 گلی 37 Bahria Phase 4 راولپنڈی,404838,Domestic
MTR-77453901,Hafsa Kazmi,"House 3, Street 34, Westridge, Rawalpindi",243245,Domestic
MTR-11088680,Syed Rauf Dar,"House No. 199, Gali 13, D Ground, Faisalabad",364947,Domestic
MTR-90276947,Haji Obaid Bukhari,"House No. 128, Gali 40, Gulberg III, Lahore",185968,Commercial
MTR-15347989,Nasir Bukhari,"House 354, Street 9, Chaklala Scheme 3, Rawalpindi",51727,Commercial
MTR-36517977,D. Janjua,H#375 St-5 Cantt Multan,5041,Commercial
MTR-95882770,Muhammad Khattak,"House 357, Street 1, Satellite Town, Rawalpindi",363502,Domestic
MTR-69445144,N. Khattak,H#189 St-21 HayatabadPhase3 Peshawar,19393,Domestic
MTR-57074797,Tooba Abbasi,"House 181, Street 13, Westridge, Rawalpindi",163688,Commercial
MTR-42158442,M.Sial,مکان 32 گلی 4 DHA Phase 6 کراچی,272372,Commercial
MTR-62913779,Rashid Mirza,"House 219, Street 1, Johar Town, Lahore",326915,Domestic
MTR-45553002,U. Gondal,H#353 St-18 DHAPhase6 Karachi,266158,Commercial
MTR-34466699,Naveed Malik,"House 331, Street 32, Hayatabad Phase 3, Peshawar",14600,Domestic
MTR-35239235,S.Durrani,مکان 131 گلی 7 Wapda Town لاہور,264499,Domestic
MTR-18335810,R. Qureshi,H#130 St-16 ChaklalaScheme3 Rawalpindi,399007,Domestic
MTR-46964522,Rana Adnan Malik,"House No. 215, Gali 37, Wapda Town, Lahore",44655,Commercial
MTR-45035754,Noor Tareen,"357-18 Gulshan-e-Iqbal, Karachi",14609,Commercial
MTR-75019157,Rabia Gilani,"195-31 DHA Phase 5, Lahore",52103,Domestic
MTR-40810822,Ghulam Rajput,"273-22 Hayatabad Phase 3, Peshawar",28231,Domestic
MTR-19590951,A. Gilani,H#211 St-3 BahriaPhase4 Rawalpindi,10221,Domestic
MTR-70067909,Haji Asad Mehsud,"House No. 368, Gali 9, Madina Town, Faisalabad",22065,Commercial
MTR-52212828,A.Bukhari,مکان 144 گلی 38 Clifton Block 2 کراچی,4826,Commercial
MTR-89630682,Syed Hamza Raja,"House No. 307, Gali 35, University Town, Peshawar",24648,Domestic
MTR-84558907,Mian Bushra Tareen,"House No. 4, Gali 32, Gulgasht, Multan",36602,Commercial
MTR-29421004,Amna Lodhi,"House 357, Street 23, E-11/2, Islamabad",427573,Commercial
MTR-98040209,Malik Ubaid Sheikh,"House No. 116, Gali 40, Shah Rukn-e-Alam, Multan",3848,Domestic
MTR-10583242,Ibrahim Afridi,"352-28 University Town, Peshawar",36710,Commercial
MTR-97671253,J. Butt,H#351 St-27 PeoplesColony Faisalabad,26590,Commercial
MTR-46280610,A. Sial,H#137 St-34 BahriaPhase4 Rawalpindi,20728,Domestic
MTR-31792504,T. Sial,H#143 St-21 Westridge Rawalpindi,17381,Domestic
MTR-34877557,D.Awan,مکان 261 گلی 39 Satellite Town راولپنڈی,327017,Commercial
MTR-67837993,Hina Rizvi,"134-22 I-8/4, Islamabad",141653,Commercial
MTR-13426901,Syed Naveed Gondal,"House No. 46, Gali 34, Gulgasht, Multan",356173,Domestic
MTR-96972557,Z. Raja,H#236 St-11 ShahRukn-e-Alam Multan,4392,Domestic
MTR-72482201,F. Orakzai,H#16 St-6 B-17 Islamabad,400464,Commercial
MTR-28828711,Sufyan Rizvi,"30-39 Shah Rukn-e-Alam, Multan",47639,Domestic
MTR-54544463,I. Hashmi,H#78 St-12 PeoplesColony Faisalabad,39074,Domestic
MTR-36665107,A. Sial,H#23 St-39 CliftonBlock2 Karachi,54030,Commercial
MTR-18601004,Salman Sandhu,"House 141, Street 34, Gulgasht, Multan",22702,Domestic
MTR-31239305,A.Lodhi,مکان 165 گلی 24 Peoples Colony Faisalabad,15926,Commercial
MTR-86862855,R.Butt,مکان 21 گلی 31 D Ground Faisalabad,141869,Domestic
MTR-82671893,Haji Nadia Khokhar,"House No. 9, Gali 40, Madina Town, Faisalabad",40506,Domestic
MTR-95781722,Hamza Warraich,"House 64, Street 36, Wapda Town, Lahore",347976,Domestic
MTR-66581403,Sadia Rajput,"House 265, Street 13, DHA Phase 6, Karachi",30763,Domestic
MTR-27933507,Y.Abbasi,مکان 73 گلی 26 Cantt Multan,344416,Domestic
MTR-21470362,Mian Farah Durrani,"House No. 153, Gali 11, Model Town, Lahore",32402,Domestic
MTR-62398014,R. Qureshi,H#43 St-30 GulbergIII Lahore,21506,Domestic
MTR-18801334,Jawad Tareen,"96-26 DHA Phase 5, Lahore",445420,Domestic
MTR-84058589,R.Malik,مکان 241 گلی 25 Cantt Multan,168521,Domestic
MTR-45222467,A.Malik,مکان 375 گلی 7 Hayatabad Phase 3 Peshawar,42024,Domestic
MTR-84045232,A. Dar,H#392 St-23 BahriaPhase4 Rawalpindi,18607,Domestic
MTR-59207199,M. Durrani,H#53 St-6 BahriaPhase4 Rawalpindi,272737,Domestic
MTR-71922927,Z. Sheikh,H#124 St-38 PeoplesColony Faisalabad,17176,Domestic
MTR-42344399,Shoaib بٹ,"371-5 Clifton Block 2, Karachi",8802,Commercial
MTR-19557308,L.Qureshi,مکان 399 گلی 36 North Nazimabad کراچی,46623,Commercial
MTR-78377306,حسن Bukhari,"399-27 I-8/4, Islamabad",227742,Commercial
MTR-29752246,Y.Orakzai,مکان 242 گلی 32 Gulshan-e-Iqbal کراچی,14962,Commercial
MTR-85552244,N.Mehsud,مکان 189 گلی 40 Westridge راولپنڈی,40575,Commercial
MTR-43495853,H.Naqvi,مکان 147 گلی 7 Gulgasht Multan,28306,Commercial
MTR-62806417,Ehsan Malik,"House 388, Street 27, Peoples Colony, Faisalabad",428157,Commercial
MTR-57118073,S. Naqvi,H#383 St-3 MadinaTown Faisalabad,184889,Domestic
MTR-30681137,Q.Sial,مکان 24 گلی 34 Gulbahar Peshawar,10582,Commercial
MTR-76175302,Usman Baig,"House 267, Street 14, Hayatabad Phase 3, Peshawar",51431,Commercial
MTR-58757590,Luqman Abbasi,"38-21 Shah Rukn-e-Alam, Multan",57072,Domestic
MTR-76089595,G.Sheikh,مکان 261 گلی 36 University Town Peshawar,227176,Domestic
MTR-65200579,Nadia Khattak,"269-17 Bahria Phase 4, Rawalpindi",28041,Domestic
MTR-99419582,Hina Joiya,"176-20 Hayatabad Phase 3, Peshawar",254533,Commercial
MTR-69367996,Danish Khattak,"House 371, Street 8, Wapda Town, Lahore",289203,Domestic
MTR-86617520,A. Sandhu,H#363 St-5 DGround Faisalabad,179228,Domestic
MTR-23515162,K.Mughal,مکان 393 گلی 40 North Nazimabad کراچی,393964,Domestic
MTR-44456864,Zubair ملک,"159-37 Gulbahar, Peshawar",34536,Domestic
MTR-74615662,Z. Kakar,H#207 St-37 Westridge Rawalpindi,363791,Domestic
MTR-87079850,Adnan Warraich,"House 235, Street 27, Cantt, Multan",35122,Commercial
MTR-70955129,S.Shirazi,مکان 344 گلی 39 Chaklala Scheme 3 راولپنڈی,437906,Commercial
MTR-52483577,Irfan خان,"340-8 Model Town, Lahore",43168,Commercial
MTR-43264679,Nasir Bukhari,"279-10 University Town, Peshawar",28609,Commercial
MTR-94417781,F. Tarar,H#111 St-1 Cantt Multan,189730,Commercial
MTR-34838208,U.Naqvi,مکان 173 گلی 8 Wapda Town لاہور,326230,Domestic
MTR-16495595,Syed Mahnoor Kakar,"House No. 140, Gali 3, Wapda Town, Lahore",31291,Domestic
MTR-59698240,Mehwish Cheema,"25-5 Hayatabad Phase 3, Peshawar",449187,Commercial
MTR-53660869,Sardar Saba Shirazi,"House No. 165, Gali 4, B-17, Islamabad",192444,Commercial
MTR-71233627,S. Khattak,H#26 St-24 DHAPhase6 Karachi,16391,Commercial
MTR-11314008,Sufyan Shirazi,"84-4 Model Town, Lahore",166856,Domestic
MTR-17996239,F.Malik,مکان 382 گلی 32 Peoples Colony Faisalabad,205923,Domestic
MTR-30422717,Chaudhary Kamran Kakar,"House No. 12, Gali 26, University Town, Peshawar",11638,Commercial
MTR-43306963,H. Khokhar,H#68 St-21 SatelliteTown Rawalpindi,9052,Domestic
MTR-30935379,Asad Khokhar,"House 238, Street 1, Peoples Colony, Faisalabad",357904,Domestic
MTR-59496650,F. Gondal,H#122 St-33 UniversityTown Peshawar,322465,Domestic
MTR-24320131,K.Siddiqui,مکان 230 گلی 5 Bahria Phase 4 راولپنڈی,231312,Domestic
MTR-42436940,K. Bhatti,H#203 St-19 F-8/3 Islamabad,34072,Commercial
MTR-24505512,Arsalan Joiya,"53-26 Chaklala Scheme 3, Rawalpindi",10498,Commercial
MTR-52051079,Mian Farah Kazmi,"House No. 39, Gali 1, Bahria Phase 4, Rawalpindi",210028,Domestic
MTR-78594524,Asad Afridi,"House 266, Street 27, Chaklala Scheme 3, Rawalpindi",6622,Domestic
MTR-73461593,S. Gondal,H#119 St-35 UniversityTown Peshawar,379055,Commercial
MTR-52724207,Gul Wazir,"398-22 DHA Phase 5, Lahore",41584,Domestic
MTR-97627963,S. Butt,H#18 St-39 UniversityTown Peshawar,228113,Domestic
MTR-83785516,Rana Ayesha Mirza,"House No. 153, Gali 39, Cantt, Multan",404990,Commercial
MTR-93819862,Irfan Gill,"House 385, Street 3, North Nazimabad, Karachi",46593,Domestic
MTR-10160718,T. Virk,H#277 St-12 DHAPhase6 Karachi,20288,Commercial
MTR-19120061,Syed Mehwish Chaudhry,"House No. 340, Gali 30, Gulgasht, Multan",59441,Commercial
MTR-11776605,N.Gilani,مکان 368 گلی 10 North Nazimabad کراچی,15844,Commercial
MTR-42896462,Uzma Rizvi,"1-26 Wapda Town, Lahore",167491,Commercial
MTR-29155472,B.Sandhu,مکان 196 گلی 40 University Town Peshawar,369631,Commercial
MTR-64635319,Zainab Ansari,"House 176, Street 24, Gulbahar, Peshawar",17909,Domestic
MTR-63802059,Haris Awan,"151-12 Wapda Town, Lahore",297663,Domestic
MTR-52733593,Mansoor Gondal,"280-37 Hayatabad Phase 3, Peshawar",24629,Domestic
MTR-87560803,Talha Rizvi,"370-31 University Town, Peshawar",5635,Domestic
MTR-15248849,N.Bukhari,مکان 176 گلی 34 Bahria Phase 4 راولپنڈی,8635,Commercial
MTR-75532361,A.Zaidi,مکان 190 گلی 24 Shah Rukn-e-Alam Multan,6877,Domestic
MTR-66433074,Atif ملک,"388-32 Madina Town, Faisalabad",23687,Domestic
MTR-32871912,G.Kazmi,مکان 39 گلی 8 Gulbahar Peshawar,56025,Domestic
MTR-47930047,K. Janjua,H#45 St-24 DHAPhase5 Lahore,53437,Commercial
MTR-77376943,Chaudhary Asad Bhatti,"House No. 104, Gali 7, University Town, Peshawar",6418,Commercial
MTR-81646483,Yousuf Durrani,"50-16 Gulbahar, Peshawar",47806,Commercial
MTR-20333495,Malik Hina Siddiqui,"House No. 269, Gali 31, Gulgasht, Multan",28339,Commercial
MTR-40350627,S.Janjua,مکان 270 گلی 36 Gulbahar Peshawar,17650,Domestic
MTR-57822113,Qasim Tarar,"House 396, Street 38, I-8/4, Islamabad",226476,Domestic
MTR-85107550,Junaid Awan,"262-22 Gulshan-e-Iqbal, Karachi",220952,Domestic
MTR-39604156,F.Janjua,مکان 167 گلی 21 Satellite Town راولپنڈی,33425,Domestic
MTR-85992959,S.Dar,مکان 218 گلی 36 Gulgasht Multan,47575,Commercial
MTR-73660127,N. Mirza,H#77 St-1 ShahRukn-e-Alam Multan,392151,Domestic
MTR-53752160,N. Chaudhry,H#89 St-35 PeoplesColony Faisalabad,17164,Domestic
MTR-81351034,Uzma خان,"320-6 Shah Rukn-e-Alam, Multan",181093,Commercial
MTR-27125018,Nadeem Hashmi,"House 368, Street 36, Bahria Phase 4, Rawalpindi",51691,Commercial
MTR-70096335,Nasir Naqvi,"341-30 Cantt, Multan",201257,Domestic
MTR-25471328,Ibrahim Zaidi,"House 248, Street 9, Shah Rukn-e-Alam, Multan",21971,Commercial
MTR-32214708,Syed Fatima Kakar,"House No. 380, Gali 30, Gulbahar, Peshawar",51437,Commercial
MTR-10130916,Sadia Ansari,"62-31 Shah Rukn-e-Alam, Multan",44279,Domestic
MTR-99175850,Madiha Durrani,"15-21 Bahria Phase 4, Rawalpindi",7621,Commercial
MTR-43506284,R.Saddozai,مکان 52 گلی 28 DHA Phase 6 کراچی,29432,Domestic
MTR-15191667,Arsalan Mughal,"360-16 Gulberg III, Lahore",235949,Domestic
MTR-83396891,A.Cheema,مکان 296 گلی 32 Gulberg III لاہور,432157,Domestic
MTR-57234643,H.Hashmi,مکان 110 گلی 32 Cantt Multan,26118,Domestic
MTR-25240036,G. Tareen,H#187 St-26 F-8/3 Islamabad,40774,Domestic
MTR-78877267,Nadeem Tareen,"House 311, Street 30, Madina Town, Faisalabad",237637,Domestic
MTR-48779278,عثمان Baig,"155-16 I-8/4, Islamabad",179285,Domestic
MTR-53657313,W. Dar,H#293 St-6 Gulbahar Peshawar,11284,Commercial
MTR-44976629,Amna Tarar,"108-38 Clifton Block 2, Karachi",17024,Domestic
MTR-84449280,L. Kakar,H#46 St-8 Gulgasht Multan,28015,Commercial
MTR-36086229,U. Siddiqui,H#17 St-29 DGround Faisalabad,13070,Commercial
MTR-54122684,N.Saddozai,مکان 19 گلی 19 Cantt Multan,54027,Domestic
MTR-61539837,Bushra Ansari,"House 398, Street 34, Gulshan-e-Iqbal, Karachi",32693,Commercial
MTR-91718218,A.Zaidi,مکان 321 گلی 34 Shah Rukn-e-Alam Multan,199926,Domestic
MTR-61042082,Iqra Mirza,"9-38 DHA Phase 6, Karachi",28772,Domestic
MTR-94367968,Syed Zara Khan,"House No. 367, Gali 37, Hayatabad Phase 3, Peshawar",236844,Commercial
MTR-93910943,Chaudhary Zeeshan Gondal,"House No. 73, Gali 18, Clifton Block 2, Karachi",26496,Commercial
MTR-80600793,Luqman Niazi,"House 109, Street 2, Hayatabad Phase 3, Peshawar",37180,Commercial
MTR-76505483,B. Sial,H#315 St-11 I-8/4 Islamabad,26038,Domestic
MTR-86843713,Rana Sufyan Durrani,"House No. 221, Gali 28, Cantt, Multan",34983,Domestic
